Product ID,Name,stock,ETA
ALG-435-41,Alegria ,0,Jul 15 2017
ALG-435-42,Alegria ,0,Jul 15 2017
ALG-435-43,Alegria ,0,Jul 15 2017
ALG-531-35,Alegria ,43,
ALG-531-36,Alegria ,110,
ALG-531-37,Alegria ,205,
ALG-531-38,Alegria ,216,
ALG-531-39,Alegria ,326,
ALG-531-40,Alegria ,255,
ALG-531-41,Alegria ,158,
ALG-531-42,Alegria ,66,
ALG-532-35,Alegria ,25,
ALG-532-36,Alegria ,10,
ALG-532-37,Alegria ,0,
ALG-532-38,Alegria ,0,
ALG-532-39,Alegria ,0,
ALG-532-40,Alegria ,0,
ALG-532-41,Alegria ,0,
ALG-532-42,Alegria ,0,
ALG-542-34,Alegria ,0,Jul 21 2017
ALG-542-35,Alegria ,21,Jul 21 2017
ALG-542-36,Alegria ,23,Jul 21 2017
ALG-542-37,Alegria ,0,Jul 21 2017
ALG-542-38,Alegria ,67,Jul 21 2017
ALG-542-39,Alegria ,0,Jul 21 2017
ALG-542-40,Alegria ,0,Jul 21 2017
ALG-542-41,Alegria ,17,Jul 21 2017
ALG-542-42,Alegria ,11,Jul 21 2017
ALG-542-43,Alegria ,0,Jul 21 2017
ALG-570-35,Alegria ,17,Jul 15 2017
ALG-570-36,Alegria ,21,Jul 15 2017
ALG-570-37,Alegria ,46,Jul 15 2017
ALG-570-38,Alegria ,55,Jul 15 2017
ALG-570-39,Alegria ,42,Jul 15 2017
ALG-570-40,Alegria ,24,Jul 15 2017
ALG-570-41,Alegria ,12,Jul 15 2017
ALG-570-42,Alegria ,0,Jul 15 2017
ALG-570-43,Alegria ,0,Jul 15 2017
ALG-575-34,Alegria ,0,
ALG-575-35,Alegria ,12,
ALG-575-36,Alegria ,28,
ALG-575-37,Alegria ,59,
ALG-575-38,Alegria ,58,
ALG-575-39,Alegria ,71,
ALG-575-40,Alegria ,60,
ALG-575-41,Alegria ,49,
ALG-575-42,Alegria ,30,
ALG-575-43,Alegria ,0,
ALG-601-35,Alegria ,30,
ALG-601-36,Alegria ,0,
ALG-601-37,Alegria ,11,
ALG-601-38,Alegria ,0,
ALG-601-39,Alegria ,68,
ALG-601-40,Alegria ,0,
ALG-601-41,Alegria ,0,
ALG-601-42,Alegria ,0,
ALG-631-35,Alegria ,0,
ALG-631-36,Alegria ,0,
ALG-631-37,Alegria ,0,
ALG-631-38,Alegria ,0,
ALG-631-39,Alegria ,0,
ALG-631-40,Alegria ,0,
ALG-631-41,Alegria ,0,
ALG-631-42,Alegria ,0,
ALG-637-35,Alegria ,49,
ALG-637-36,Alegria ,0,
ALG-637-37,Alegria ,0,
ALG-637-38,Alegria ,0,
ALG-637-39,Alegria ,0,
ALG-637-40,Alegria ,0,
ALG-637-41,Alegria ,0,
ALG-637-42,Alegria ,0,
ALG-640-35,Alegria ,0,Jul 15 2017
ALG-640-36,Alegria ,18,Jul 15 2017
ALG-640-37,Alegria ,32,Jul 15 2017
ALG-640-38,Alegria ,62,Jul 15 2017
ALG-640-39,Alegria ,39,Jul 15 2017
ALG-640-40,Alegria ,0,Jul 15 2017
ALG-640-41,Alegria ,7,Jul 15 2017
ALG-640-42,Alegria ,0,Jul 15 2017
ALG-640-43,Alegria ,0,Jul 15 2017
ALG-644-34,Alegria ,0,Jul 30 2017
ALG-644-35,Alegria ,7,Jul 30 2017
ALG-644-36,Alegria ,8,Jul 30 2017
ALG-644-37,Alegria ,16,Jul 30 2017
ALG-644-38,Alegria ,27,Jul 30 2017
ALG-644-39,Alegria ,41,Jul 30 2017
ALG-644-40,Alegria ,37,Jul 30 2017
ALG-644-41,Alegria ,19,Jul 30 2017
ALG-644-42,Alegria ,0,Jul 30 2017
ALG-644-43,Alegria ,0,Jul 30 2017
ALG-686-34,Alegria ,0,
ALG-686-35,Alegria ,11,
ALG-686-36,Alegria ,39,
ALG-686-37,Alegria ,95,
ALG-686-38,Alegria ,138,
ALG-686-39,Alegria ,152,
ALG-686-40,Alegria ,113,
ALG-686-41,Alegria ,76,
ALG-686-42,Alegria ,32,
ALG-686-43,Alegria ,0,
ALG-711-34,Alegria ,0,
ALG-711-35,Alegria ,0,
ALG-711-36,Alegria ,0,
ALG-711-37,Alegria ,0,
ALG-711-38,Alegria ,0,
ALG-711-39,Alegria ,0,
ALG-711-40,Alegria ,0,
ALG-711-41,Alegria ,0,
ALG-711-42,Alegria ,0,
ALG-711-43,Alegria ,0,
ALG-715-35,Alegria ,0,
ALG-715-36,Alegria ,0,
ALG-715-37,Alegria ,0,
ALG-715-38,Alegria ,0,
ALG-715-39,Alegria ,0,
ALG-715-40,Alegria ,0,
ALG-715-41,Alegria ,0,
ALG-715-42,Alegria ,0,
ALG-719-34,Alegria ,0,
ALG-719-35,Alegria ,6,
ALG-719-36,Alegria ,0,
ALG-719-37,Alegria ,38,
ALG-719-38,Alegria ,45,
ALG-719-39,Alegria ,46,
ALG-719-40,Alegria ,65,
ALG-719-41,Alegria ,22,
ALG-719-42,Alegria ,0,
ALG-719-43,Alegria ,0,
ALG-759-34,Alegria ,0,
ALG-759-35,Alegria ,0,
ALG-759-36,Alegria ,0,
ALG-759-37,Alegria ,0,
ALG-759-38,Alegria ,0,
ALG-759-39,Alegria ,0,
ALG-759-40,Alegria ,0,
ALG-759-41,Alegria ,0,
ALG-759-42,Alegria ,0,
ALG-759-43,Alegria ,0,
ALG-914-34,Alegria ,0,
ALG-914-35,Alegria ,0,
ALG-914-36,Alegria ,0,
ALG-914-37,Alegria ,0,
ALG-914-38,Alegria ,0,
ALG-914-39,Alegria ,0,
ALG-914-40,Alegria ,0,
ALG-914-41,Alegria ,0,
ALG-914-42,Alegria ,0,
ALG-914-43,Alegria ,0,
ALG-919-35,Alegria ,0,
ALG-919-36,Alegria ,0,
ALG-919-37,Alegria ,0,
ALG-919-38,Alegria ,0,
ALG-919-39,Alegria ,0,
ALG-919-40,Alegria ,0,
ALG-919-41,Alegria ,0,
ALG-919-42,Alegria ,0,
ALG-998-34,Alegria ,0,
ALG-998-35,Alegria ,30,
ALG-998-36,Alegria ,77,
ALG-998-37,Alegria ,177,
ALG-998-38,Alegria ,295,
ALG-998-39,Alegria ,307,
ALG-998-40,Alegria ,244,
ALG-998-41,Alegria ,201,
ALG-998-42,Alegria ,157,
ALG-998-43,Alegria ,0,
ALG-998G-34,Alegria ,0,
ALG-998G-35,Alegria ,30,
ALG-998G-36,Alegria ,69,
ALG-998G-37,Alegria ,214,
ALG-998G-38,Alegria ,317,
ALG-998G-39,Alegria ,406,
ALG-998G-40,Alegria ,335,
ALG-998G-41,Alegria ,282,
ALG-998G-42,Alegria ,167,
ALG-998G-43,Alegria ,0,
