itemNo,color,size,upc,inStock,wholesalePrice,retailPrice,eta
ALG-324,Classic Spiro Purple,34,693016562602,0,54.50,119.95,
ALG-324,Classic Spiro Purple,35,693016562619,3,54.50,119.95,
ALG-324,Classic Spiro Purple,36,693016562626,23,54.50,119.95,
ALG-324,Classic Spiro Purple,37,693016562633,13,54.50,119.95,
ALG-324,Classic Spiro Purple,38,693016562640,34,54.50,119.95,
ALG-324,Classic Spiro Purple,39,693016562657,44,54.50,119.95,
ALG-324,Classic Spiro Purple,40,693016562664,0,54.50,119.95,
ALG-324,Classic Spiro Purple,41,693016562671,3,54.50,119.95,
ALG-324,Classic Spiro Purple,42,693016562688,0,54.50,119.95,
ALG-324,Classic Spiro Purple,43,693016562695,0,54.50,119.95,
ALG-344,Classic Wild West Whiskey,34,693016546428,0,34.50,69.00,
ALG-344,Classic Wild West Whiskey,35,693016546435,0,34.50,69.00,
ALG-344,Classic Wild West Whiskey,36,693016546442,0,34.50,69.00,
ALG-344,Classic Wild West Whiskey,37,693016546459,0,34.50,69.00,
ALG-344,Classic Wild West Whiskey,38,693016546466,0,34.50,69.00,
ALG-344,Classic Wild West Whiskey,39,693016546473,0,34.50,69.00,
ALG-344,Classic Wild West Whiskey,40,693016546480,0,34.50,69.00,
ALG-344,Classic Wild West Whiskey,41,693016546497,0,34.50,69.00,
ALG-344,Classic Wild West Whiskey,42,693016546503,0,34.50,69.00,
ALG-344,Classic Wild West Whiskey,43,693016546510,0,34.50,69.00,
ALG-345,Classic Wild West Ash,34,693016546329,0,34.50,69.00,
ALG-345,Classic Wild West Ash,35,693016546336,0,34.50,69.00,
ALG-345,Classic Wild West Ash,36,693016546343,0,34.50,69.00,
ALG-345,Classic Wild West Ash,37,693016546350,0,34.50,69.00,
ALG-345,Classic Wild West Ash,38,693016546367,0,34.50,69.00,
ALG-345,Classic Wild West Ash,39,693016546374,0,34.50,69.00,
ALG-345,Classic Wild West Ash,40,693016546381,0,34.50,69.00,
ALG-345,Classic Wild West Ash,41,693016546398,0,34.50,69.00,
ALG-345,Classic Wild West Ash,42,693016546404,0,34.50,69.00,
ALG-345,Classic Wild West Ash,43,693016546411,0,34.50,69.00,
ALG-372,Classic Tectonic,34,693016585274,0,54.50,119.95,
ALG-372,Classic Tectonic,35,693016585281,3,54.50,119.95,
ALG-372,Classic Tectonic,36,693016585298,0,54.50,119.95,
ALG-372,Classic Tectonic,37,693016585304,4,54.50,119.95,
ALG-372,Classic Tectonic,38,693016585311,25,54.50,119.95,
ALG-372,Classic Tectonic,39,693016585328,33,54.50,119.95,
ALG-372,Classic Tectonic,40,693016585335,16,54.50,119.95,
ALG-372,Classic Tectonic,41,693016585342,6,54.50,119.95,
ALG-372,Classic Tectonic,42,693016585359,0,54.50,119.95,
ALG-372,Classic Tectonic,43,693016585366,0,54.50,119.95,
