CATALOG,SELECTION CODE,SELECTION CODE DESCRIPTION,PRODUCT ID,PRODUCT [ID] DESCRIPTION,UPC,VENDOR PART NUMBER,VENDOR PART DESCRIPTION,NRF COLOR CODE,PRODUCT COLOR DESCRIPTION,NRF SIZE CODE,PRODUCT SIZE DESCRIPTION,PRODUCT FABRIC DESCRIPTION,AVAILABLE DATE,DISCONTINUE DATE,MINIMIUM ORDER QTY,MAXIMUM ORDER QTY,REORDERABLE PRODUCT,SEASONAL AVAILABILITY,COUNTRY OF ORIGIN,INNER PACK QTY,OUTER PACK QTY,ORDER LEAD TIME,ORDER LEAD TIME CODE,ITEM EXTENDED DESCRIPTION,IMAGE URL,PRICE QUALIFIER 1,PRICE AMOUNT 1
CATALOG,ALG,Alegria Shoes,ALG-201_39,Classic Metallic Bronze,693016208104,,,,Classic Metallic Bronze,52149,39,Leather,,,1,,Y,,China,,,,,,,69.95,34.50
CATALOG,ALG,Alegria Shoes,ALG-201_40,Classic Metallic Bronze,693016208111,,,,Classic Metallic Bronze,52150,40,Leather,,,1,,Y,,China,,,,,,,69.95,34.50
CATALOG,ALG,Alegria Shoes,ALG-201_41,Classic Metallic Bronze,693016208128,,,,Classic Metallic Bronze,52151,41,Leather,,,1,,Y,,China,,,,,,,69.95,34.50
CATALOG,ALG,Alegria Shoes,ALG-201_42,Classic Metallic Bronze,693016208135,,,,Classic Metallic Bronze,52152,42,Leather,,,1,,Y,,China,,,,,,,69.95,34.50
CATALOG,ALG,Alegria Shoes,ALG-205_35,Classic Soft Bronze,693016252145,,,,Classic Soft Bronze,52145,35,Leather,,,1,,Y,,China,,,,,,,69.95,34.50
CATALOG,ALG,Alegria Shoes,ALG-205_36,Classic Soft Bronze,693016252152,,,,Classic Soft Bronze,52146,36,Leather,,,1,,Y,,China,,,,,,,69.95,34.50
CATALOG,ALG,Alegria Shoes,ALG-205_37,Classic Soft Bronze,693016252169,,,,Classic Soft Bronze,52147,37,Leather,,,1,,Y,,China,,,,,,,69.95,34.50
CATALOG,ALG,Alegria Shoes,ALG-205_38,Classic Soft Bronze,693016252176,,,,Classic Soft Bronze,52148,38,Leather,,,1,,Y,,China,,,,,,,69.95,34.50
CATALOG,ALG,Alegria Shoes,ALG-205_39,Classic Soft Bronze,693016252183,,,,Classic Soft Bronze,52149,39,Leather,,,1,,Y,,China,,,,,,,69.95,34.50
CATALOG,ALG,Alegria Shoes,ALG-205_40,Classic Soft Bronze,693016252190,,,,Classic Soft Bronze,52150,40,Leather,,,1,,Y,,China,,,,,,,69.95,34.50
