productcode,stockstatus,upc_code
ALG-575-38,58,693016569748
ALG-575-39,71,693016569755
ALG-575-40,60,693016569762
ALG-575-41,49,693016569779
ALG-575-42,30,693016569786
ALG-575-43,0,693016569793
ALG-601-35,30,693016214464
ALG-601-36,2,693016208494
ALG-601-37,11,693016208500
ALG-601-38,3,693016208517
ALG-601-39,68,693016208524
ALG-601-40,0,693016208531
ALG-601-41,0,693016208548
ALG-601-42,0,693016208555
ALG-631-35,0,693016272846
ALG-631-36,0,693016272853
ALG-631-37,0,693016272860
ALG-631-38,0,693016272877
ALG-631-39,0,693016272884
ALG-631-40,0,693016272891
ALG-631-41,0,693016272907
ALG-631-42,0,693016272914
ALG-637-35,49,693016273003
ALG-637-36,0,693016273010
ALG-637-37,0,693016273027
ALG-637-38,0,693016273034
ALG-637-39,0,693016273041
ALG-637-40,0,693016273058
ALG-637-41,0,693016273065
ALG-637-42,0,693016273072
ALG-640-35,0,693016609246
ALG-640-36,18,693016609253
ALG-640-37,32,693016609260
ALG-640-38,62,693016609277
ALG-640-39,39,693016609284
ALG-640-40,5,693016609291
ALG-640-41,7,693016609307
ALG-640-42,0,693016609314
ALG-640-43,0,693016609321
ALG-644-34,0,693016519781
ALG-644-35,7,693016519798
ALG-644-36,8,693016519804
ALG-644-37,16,693016519811
ALG-644-38,27,693016519828
ALG-644-39,41,693016519835
ALG-644-40,37,693016519842
ALG-644-41,19,693016519859
ALG-644-42,0,693016519866
ALG-644-43,0,693016519873
ALG-686-34,0,693016585571
ALG-686-35,11,693016585588
ALG-686-36,39,693016585595
ALG-686-37,95,693016585601
ALG-686-38,138,693016585618
ALG-686-39,152,693016585625
ALG-686-40,113,693016585632
ALG-686-41,76,693016585649
ALG-686-42,32,693016585656
ALG-686-43,0,693016585663
ALG-711-34,0,693016488384
ALG-711-35,0,693016488391
ALG-711-36,0,693016488407
ALG-711-37,0,693016488414
ALG-711-38,0,693016488421
ALG-711-39,0,693016488438
ALG-711-40,0,693016488445
ALG-711-41,0,693016488452
ALG-711-42,0,693016488469
ALG-711-43,0,693016488476
ALG-715-35,0,693016256068
ALG-715-36,0,693016256075
ALG-715-37,0,693016256082
ALG-715-38,0,693016256099
ALG-715-39,0,693016256105
ALG-715-40,0,693016256112
ALG-715-41,0,693016256129
ALG-715-42,0,693016256136
ALG-719-34,0,693016569809
ALG-719-35,6,693016569816
ALG-719-36,0,693016569823
ALG-719-37,38,693016569830
ALG-719-38,45,693016569847
ALG-719-39,46,693016569854
ALG-719-40,65,693016569861
ALG-719-41,22,693016569878
ALG-719-42,0,693016569885
ALG-719-43,0,693016569892
ALG-759-34,0,693016569601
ALG-759-35,0,693016569618
ALG-759-36,0,693016569625
ALG-759-37,0,693016569632
ALG-759-38,0,693016569649
ALG-759-39,0,693016569656
ALG-759-40,0,693016569663
ALG-759-41,0,693016569670
ALG-759-42,0,693016569687
ALG-759-43,0,693016569694
ALG-914-34,0,693016533589
ALG-914-35,0,693016533596
ALG-914-36,0,693016533602
ALG-914-37,0,693016533619
ALG-914-38,0,693016533626
ALG-914-39,0,693016533633
ALG-914-40,0,693016533640
ALG-914-41,0,693016533657
ALG-914-42,0,693016533664
ALG-914-43,0,693016533671
ALG-919-35,0,693016287796
ALG-919-36,0,693016287802
ALG-919-37,0,693016287819
ALG-919-38,0,693016287826
ALG-919-39,0,693016287833
ALG-919-40,0,693016287840
ALG-919-41,0,693016287857
ALG-919-42,0,693016287864
ALG-998-34,0,693016543984
ALG-998-35,30,693016543991
ALG-998-36,77,693016544004
ALG-998-37,177,693016544011
ALG-998-38,295,693016544028
ALG-998-39,307,693016544035
ALG-998-40,244,693016544042
ALG-998-41,201,693016544059
ALG-998-42,157,693016544066
ALG-998-43,0,693016544073
ALG-998G-34,0,693016581566
ALG-998G-35,30,693016581573
ALG-998G-36,69,693016581580
ALG-998G-37,214,693016581597
ALG-998G-38,317,693016581603
ALG-998G-39,406,693016581610
ALG-998G-40,335,693016581627
ALG-998G-41,282,693016581634
ALG-998G-42,167,693016581641
ALG-998G-43,0,693016581658
ALG-998GW-34,0,693016584673
ALG-998GW-35,0,693016584680
ALG-998GW-36,88,693016584697
ALG-998GW-37,161,693016584703
ALG-998GW-38,305,693016584710
ALG-998GW-39,343,693016584727
ALG-998GW-40,247,693016584734
ALG-998GW-41,167,693016584741
ALG-998GW-42,31,693016584758
ALG-998GW-43,0,693016584765
ALG-998W-35,0,693016502349
ALG-998W-36,39,693016502356
ALG-998W-37,65,693016502363
ALG-998W-38,104,693016502370
ALG-998W-39,96,693016502387
ALG-998W-40,191,693016502394
ALG-998W-41,48,693016502400
ALG-998W-42,0,693016502417
ALG-999-35,96,693016299843
ALG-999-36,0,693016299850
ALG-999-37,190,693016299867
ALG-999-38,882,693016299874
ALG-999-39,1314,693016299881
ALG-999-40,1207,693016299898
ALG-999-41,1744,693016299904
ALG-999-42,2004,693016299911
ALG-999-34,0,693016299836
ALG-999-43,256,693016319527
ALG-999G-34,5,693016531783
ALG-999G-35,26,693016531790
ALG-999G-36,106,693016531806
ALG-999G-37,449,693016531813
ALG-999G-38,616,693016531820
ALG-999G-39,450,693016531837
ALG-999G-40,366,693016531844
ALG-999G-41,334,693016531851
ALG-999G-42,281,693016531868
ALG-999G-43,18,693016531875
ALG-999GW-34,3,693016531882
ALG-999GW-35,0,693016531899
ALG-999GW-36,84,693016531905
ALG-999GW-37,229,693016531912
ALG-999GW-38,308,693016531929
ALG-999GW-39,303,693016531936
ALG-999GW-40,265,693016531943
ALG-999GW-41,201,693016531950
ALG-999GW-42,160,693016531967
ALG-999GW-43,61,693016531974
ALG-999W-35,373,693016299928
ALG-999W-36,1569,693016299935
ALG-999W-37,2697,693016299942
ALG-999W-38,4375,693016299959
ALG-999W-39,4165,693016299966
ALG-999W-40,3478,693016299973
ALG-999W-41,2404,693016299980
ALG-999W-42,2435,693016299997
ALG-999W-34,0,693016502325
ALG-999W-43,276,693016319534
ALG-ALL-011-34,0,693016535989
ALG-ALL-011-35,0,693016535996
ALG-ALL-011-36,0,693016536009
ALG-ALL-011-37,0,693016536016
ALG-ALL-011-38,0,693016536023
ALG-ALL-011-39,0,693016536030
ALG-ALL-011-40,0,693016536047
ALG-ALL-011-41,0,693016536054
ALG-ALL-011-42,0,693016536061
ALG-ALL-011-43,0,693016536078
ALG-ALL-386-35,0,693016304479
ALG-ALL-386-36,0,693016304486
ALG-ALL-386-37,0,693016304493
ALG-ALL-386-38,0,693016304509
ALG-ALL-386-39,0,693016304516
ALG-ALL-386-40,0,693016304523
ALG-ALL-386-41,0,693016304530
ALG-ALL-386-42,0,693016304547
ALG-ALL-413-35,19,693016611140
ALG-ALL-413-36,41,693016611157
ALG-ALL-413-37,75,693016611164
ALG-ALL-413-38,67,693016611171
ALG-ALL-413-39,62,693016611188
ALG-ALL-413-40,31,693016611195
ALG-ALL-413-41,8,693016611201
ALG-ALL-413-42,0,693016611218
ALG-ALL-413-43,0,693016611225
ALG-ALL-431-34,0,693016491285
ALG-ALL-431-35,9,693016491292
ALG-ALL-431-36,20,693016491308
ALG-ALL-431-37,55,693016491315
ALG-ALL-431-38,108,693016491322
ALG-ALL-431-39,94,693016491339
ALG-ALL-431-40,82,693016491346
ALG-ALL-431-41,70,693016491353
ALG-ALL-431-42,40,693016491360
ALG-ALL-431-43,0,693016491377
ALG-ALL-433-34,0,693016491780
ALG-ALL-433-35,0,693016491797
ALG-ALL-433-36,0,693016491803
ALG-ALL-433-37,0,693016491810
ALG-ALL-433-38,0,693016491827
ALG-ALL-433-39,0,693016491834
ALG-ALL-433-40,0,693016491841
ALG-ALL-433-41,0,693016491858
ALG-ALL-433-42,0,693016491865
ALG-ALL-433-43,0,693016491872
ALG-ALL-554-34,0,693016571802
ALG-ALL-554-35,0,693016571819
ALG-ALL-554-36,0,693016571826
ALG-ALL-554-37,0,693016571833
ALG-ALL-554-38,0,693016571840
ALG-ALL-554-39,0,693016571857
ALG-ALL-554-40,0,693016571864
ALG-ALL-554-41,0,693016571871
ALG-ALL-554-42,0,693016571888
ALG-ALL-554-43,0,693016571895
ALG-ALL-571-35,143,693016293957
ALG-ALL-571-36,91,693016293964
ALG-ALL-571-37,238,693016293971
ALG-ALL-571-38,289,693016293988
ALG-ALL-571-39,229,693016293995
ALG-ALL-571-40,128,693016294008
ALG-ALL-571-41,60,693016294015
ALG-ALL-571-42,20,693016294022
ALG-ALL-574-34,0,693016548026
ALG-ALL-574-35,8,693016548033
ALG-ALL-574-36,56,693016548040
ALG-ALL-574-37,85,693016548057
ALG-ALL-574-38,97,693016548064
ALG-ALL-574-39,122,693016548071
ALG-ALL-574-40,34,693016548088
ALG-ALL-574-41,7,693016548095
ALG-ALL-574-42,8,693016548101
ALG-ALL-574-43,0,693016548118
ALG-ALL-576-34,0,693016571703
ALG-ALL-576-35,15,693016571710
ALG-ALL-576-36,36,693016571727
ALG-ALL-576-37,71,693016571734
ALG-ALL-576-38,113,693016571741
ALG-ALL-576-39,112,693016571758
ALG-ALL-576-40,91,693016571765
ALG-ALL-576-41,50,693016571772
ALG-ALL-576-42,21,693016571789
ALG-ALL-576-43,0,693016571796
ALG-ALL-640-35,30,693016611249
ALG-ALL-640-36,63,693016611256
ALG-ALL-640-37,105,693016611263
ALG-ALL-640-38,111,693016611270
ALG-ALL-640-39,89,693016611287
ALG-ALL-640-40,38,693016611294
ALG-ALL-640-41,18,693016611300
ALG-ALL-640-42,0,693016611317
ALG-ALL-640-43,0,693016611324
ALG-ALL-741-34,0,693016536184
ALG-ALL-741-35,0,693016536191
ALG-ALL-741-36,0,693016536207
ALG-ALL-741-37,0,693016536214
ALG-ALL-741-38,0,693016536221
ALG-ALL-741-39,0,693016536238
ALG-ALL-741-40,0,693016536245
ALG-ALL-741-41,0,693016536252
ALG-ALL-741-42,0,693016536269
ALG-ALL-741-43,0,693016536276
ALG-ALR-471-35,0,693016619566
ALG-ALR-471-36,0,693016619573
ALG-ALR-471-37,0,693016619580
ALG-ALR-471-38,0,693016619597
ALG-ALR-471-39,0,693016619603
ALG-ALR-471-40,0,693016619610
ALG-ALR-471-41,0,693016619627
ALG-ALR-471-42,0,693016619634
ALG-ALR-471-43,0,693016619641
ALG-ARI-147-35,0,693016619368
ALG-ARI-147-36,0,693016619375
ALG-ARI-147-37,0,693016619382
ALG-ARI-147-38,0,693016619399
ALG-ARI-147-39,0,693016619405
ALG-ARI-147-40,0,693016619412
ALG-ARI-147-41,0,693016619429
ALG-ARI-147-42,0,693016619436
ALG-ARI-147-43,0,693016619443
ALG-ARI-346-34,0,693016580668
ALG-ARI-346-35,19,693016580675
ALG-ARI-346-36,60,693016580682
ALG-ARI-346-37,80,693016580699
ALG-ARI-346-38,114,693016580705
ALG-ARI-346-39,121,693016580712
ALG-ARI-346-40,92,693016580729
ALG-ARI-346-41,77,693016580736
ALG-ARI-346-42,34,693016580743
