ItemNo,UPCcode,Current_Quantity_Available
ALG-137,693016585175,0
ALG-137,693016585182,7
ALG-137,693016585199,0
ALG-137,693016585205,36
ALG-137,693016585212,53
ALG-137,693016585229,90
ALG-137,693016585236,76
ALG-137,693016585243,41
ALG-137,693016585250,6
ALG-137,693016585267,0
ALG-138,693016585373,0
ALG-138,693016585380,11
ALG-138,693016585397,14
ALG-138,693016585403,59
ALG-138,693016585410,90
ALG-138,693016585427,82
ALG-138,693016585434,72
ALG-138,693016585441,32
ALG-138,693016585458,18
ALG-138,693016585465,0
ALG-139,693016585472,0
ALG-139,693016585489,2
ALG-139,693016585496,0
ALG-139,693016585502,0
ALG-139,693016585519,0
ALG-139,693016585526,19
ALG-139,693016585533,6
ALG-139,693016585540,0
ALG-139,693016585557,9
ALG-139,693016585564,0
ALG-147,693016608942,3
ALG-147,693016608959,20
ALG-147,693016608966,57
ALG-147,693016608973,52
ALG-147,693016608980,38
ALG-147,693016608997,13
ALG-147,693016609000,16
ALG-147,693016609017,0
ALG-147,693016609024,0
ALG-148,693016609147,0
ALG-148,693016609154,0
ALG-148,693016609161,0
ALG-148,693016609178,0
ALG-148,693016609185,0
ALG-148,693016609192,0
ALG-148,693016609208,0
ALG-148,693016609215,0
ALG-148,693016609222,0
ALG-231,693016532681,0
ALG-231,693016532698,9
ALG-231,693016532704,20
ALG-231,693016532711,24
ALG-231,693016532728,71
ALG-231,693016532735,88
ALG-231,693016532742,0
ALG-231,693016532759,0
ALG-231,693016532766,0
ALG-231,693016532773,0
ALG-324,693016562602,0
ALG-324,693016562619,3
ALG-324,693016562626,27
ALG-324,693016562633,23
ALG-324,693016562640,56
ALG-324,693016562657,67
ALG-324,693016562664,7
ALG-324,693016562671,17
ALG-324,693016562688,0
ALG-324,693016562695,0
ALG-372,693016585274,0
ALG-372,693016585281,3
ALG-372,693016585298,0
ALG-372,693016585304,13
ALG-372,693016585311,37
ALG-372,693016585328,55
ALG-372,693016585335,34
ALG-372,693016585342,17
ALG-372,693016585359,0
ALG-372,693016585366,0
ALG-422,693016569502,0
ALG-422,693016569519,21
ALG-422,693016569526,67
ALG-422,693016569533,148
ALG-422,693016569540,184
ALG-422,693016569557,212
ALG-422,693016569564,127
ALG-422,693016569571,83
ALG-422,693016569588,15
ALG-422,693016569595,0
ALG-425,693016570003,0
ALG-425,693016570010,16
ALG-425,693016570027,36
ALG-425,693016570034,61
ALG-425,693016570041,91
ALG-425,693016570058,113
ALG-425,693016570065,75
ALG-425,693016570072,39
ALG-425,693016570089,15
ALG-425,693016570096,0
ALG-429,693016569908,0
ALG-429,693016569915,16
ALG-429,693016569922,50
ALG-429,693016569939,46
ALG-429,693016569946,36
ALG-429,693016569953,24
ALG-429,693016569960,42
ALG-429,693016569977,23
ALG-429,693016569984,9
ALG-429,693016569991,0
ALG-435,693016609345,0
ALG-435,693016609352,0
ALG-435,693016609369,0
ALG-435,693016609376,0
ALG-435,693016609383,0
ALG-435,693016609390,0
ALG-435,693016609406,0
ALG-435,693016609413,0
ALG-435,693016609420,0
ALG-531,693016266128,37
ALG-531,693016266135,48
ALG-531,693016266142,46
ALG-531,693016266159,77
ALG-531,693016266166,134
ALG-531,693016266173,113
ALG-531,693016266180,82
ALG-531,693016266197,53
ALG-532,693016266203,25
ALG-532,693016266210,10
ALG-532,693016266227,0
ALG-532,693016266234,0
ALG-532,693016266241,0
ALG-532,693016266258,0
ALG-532,693016266265,0
ALG-532,693016266272,0
ALG-542,693016533084,0
ALG-542,693016533091,23
ALG-542,693016533107,3
ALG-542,693016533114,0
ALG-542,693016533121,0
ALG-542,693016533138,0
ALG-542,693016533145,0
ALG-542,693016533152,0
ALG-542,693016533169,12
ALG-542,693016533176,0
ALG-570,693016609048,0
ALG-570,693016609055,0
ALG-570,693016609062,0
ALG-570,693016609079,0
ALG-570,693016609086,0
ALG-570,693016609093,0
ALG-570,693016609109,0
ALG-570,693016609116,0
ALG-570,693016609123,0
ALG-575,693016569700,0
ALG-575,693016569717,13
ALG-575,693016569724,29
ALG-575,693016569731,61
ALG-575,693016569748,64
ALG-575,693016569755,79
ALG-575,693016569762,67
ALG-575,693016569779,55
ALG-575,693016569786,32
ALG-575,693016569793,0
ALG-601,693016214464,31
ALG-601,693016208494,22
ALG-601,693016208500,43
ALG-601,693016208517,46
ALG-601,693016208524,106
ALG-601,693016208531,34
ALG-601,693016208548,25
ALG-601,693016208555,0
ALG-631,693016272846,0
ALG-631,693016272853,0
ALG-631,693016272860,0
ALG-631,693016272877,0
ALG-631,693016272884,0
ALG-631,693016272891,0
ALG-631,693016272907,0
ALG-631,693016272914,0
ALG-640,693016609246,0
ALG-640,693016609253,0
ALG-640,693016609260,0
ALG-640,693016609277,0
ALG-640,693016609284,0
ALG-640,693016609291,0
ALG-640,693016609307,0
ALG-640,693016609314,0
ALG-640,693016609321,0
ALG-644,693016519781,0
ALG-644,693016519798,6
ALG-644,693016519804,15
ALG-644,693016519811,20
ALG-644,693016519828,40
ALG-644,693016519835,57
ALG-644,693016519842,41
ALG-644,693016519859,27
ALG-644,693016519866,3
ALG-644,693016519873,0
ALG-686,693016585571,0
ALG-686,693016585588,2
ALG-686,693016585595,8
ALG-686,693016585601,34
ALG-686,693016585618,27
ALG-686,693016585625,42
ALG-686,693016585632,36
ALG-686,693016585649,0
ALG-686,693016585656,0
ALG-686,693016585663,0
ALG-719,693016569809,0
ALG-719,693016569816,6
ALG-719,693016569823,0
ALG-719,693016569830,39
ALG-719,693016569847,49
ALG-719,693016569854,44
ALG-719,693016569861,66
