ItemNo,UPCcode,Current_Quantity_Available
ALG-999GW,693016531967,216
ALG-999GW,693016531974,78
ALG-999W,693016299928,137
ALG-999W,693016299935,1099
ALG-999W,693016299942,2403
ALG-999W,693016299959,3446
ALG-999W,693016299966,3681
ALG-999W,693016299973,3306
ALG-999W,693016299980,1913
ALG-999W,693016299997,1803
ALG-999W,693016502325,0
ALG-999W,693016319534,68
ALG-ALL-431,693016491285,0
ALG-ALL-431,693016491292,11
ALG-ALL-431,693016491308,20
ALG-ALL-431,693016491315,74
ALG-ALL-431,693016491322,129
ALG-ALL-431,693016491339,122
ALG-ALL-431,693016491346,100
ALG-ALL-431,693016491353,79
ALG-ALL-431,693016491360,48
ALG-ALL-431,693016491377,0
ALG-ALL-571,693016293957,144
ALG-ALL-571,693016293964,95
ALG-ALL-571,693016293971,260
ALG-ALL-571,693016293988,318
ALG-ALL-571,693016293995,262
ALG-ALL-571,693016294008,147
ALG-ALL-571,693016294015,66
ALG-ALL-571,693016294022,25
ALG-ALL-574,693016548026,0
ALG-ALL-574,693016548033,8
ALG-ALL-574,693016548040,58
ALG-ALL-574,693016548057,91
ALG-ALL-574,693016548064,110
ALG-ALL-574,693016548071,132
ALG-ALL-574,693016548088,48
ALG-ALL-574,693016548095,13
ALG-ALL-574,693016548101,12
ALG-ALL-574,693016548118,0
ALG-ALL-576,693016571703,0
ALG-ALL-576,693016571710,15
ALG-ALL-576,693016571727,34
ALG-ALL-576,693016571734,28
ALG-ALL-576,693016571741,59
ALG-ALL-576,693016571758,34
ALG-ALL-576,693016571765,0
ALG-ALL-576,693016571772,9
ALG-ALL-576,693016571789,0
ALG-ALL-576,693016571796,0
ALG-ARI-346,693016580668,0
ALG-ARI-346,693016580675,19
ALG-ARI-346,693016580682,60
ALG-ARI-346,693016580699,86
ALG-ARI-346,693016580705,125
ALG-ARI-346,693016580712,133
ALG-ARI-346,693016580729,104
ALG-ARI-346,693016580736,84
ALG-ARI-346,693016580743,37
ALG-ARI-346,693016580750,0
ALG-ARI-601,693016580460,0
ALG-ARI-601,693016580477,7
ALG-ARI-601,693016580484,4
ALG-ARI-601,693016580491,0
ALG-ARI-601,693016580507,0
ALG-ARI-601,693016580514,5
ALG-ARI-601,693016580521,3
ALG-ARI-601,693016580538,0
ALG-ARI-601,693016580545,0
ALG-ARI-601,693016580552,0
ALG-ARI-882,693016580569,0
ALG-ARI-882,693016580576,13
ALG-ARI-882,693016580583,7
ALG-ARI-882,693016580590,35
ALG-ARI-882,693016580606,50
ALG-ARI-882,693016580613,44
ALG-ARI-882,693016580620,22
ALG-ARI-882,693016580637,0
ALG-ARI-882,693016580644,0
ALG-ARI-882,693016580651,0
ALG-AVA-101,693016291205,0
ALG-AVA-101,693016291212,0
ALG-AVA-101,693016291229,0
ALG-AVA-101,693016291236,0
ALG-AVA-101,693016291243,0
ALG-AVA-101,693016291250,0
ALG-AVA-101,693016291267,0
ALG-AVA-101,693016291274,0
ALG-AVA-601,693016291281,0
