ItemNo,UPCcode,Current_Quantity_Available
ALG-137,693016585175,0
ALG-137,693016585182,12
ALG-137,693016585199,4
ALG-137,693016585205,34
ALG-137,693016585212,55
ALG-137,693016585229,69
ALG-137,693016585236,49
ALG-137,693016585243,25
ALG-137,693016585250,7
ALG-137,693016585267,0
ALG-138,693016585373,0
ALG-138,693016585380,11
ALG-138,693016585397,19
ALG-138,693016585403,73
ALG-138,693016585410,117
ALG-138,693016585427,108
ALG-138,693016585434,88
ALG-138,693016585441,42
ALG-138,693016585458,24
ALG-138,693016585465,0
ALG-139,693016585472,0
ALG-139,693016585489,8
ALG-139,693016585496,20
ALG-139,693016585502,31
ALG-139,693016585519,61
ALG-139,693016585526,80
ALG-139,693016585533,36
ALG-139,693016585540,33
ALG-139,693016585557,21
ALG-139,693016585564,0
ALG-231,693016532681,0
ALG-231,693016532698,12
ALG-231,693016532704,31
ALG-231,693016532711,58
ALG-231,693016532728,107
ALG-231,693016532735,134
ALG-231,693016532742,32
ALG-231,693016532759,16
ALG-231,693016532766,9
ALG-231,693016532773,0
ALG-233,693016532889,0
ALG-233,693016532896,19
ALG-233,693016532902,39
ALG-233,693016532919,44
ALG-233,693016532926,92
ALG-233,693016532933,110
ALG-233,693016532940,33
ALG-233,693016532957,45
ALG-233,693016532964,2
ALG-233,693016532971,0
ALG-324,693016562602,0
ALG-324,693016562619,7
ALG-324,693016562626,44
ALG-324,693016562633,64
ALG-324,693016562640,103
ALG-324,693016562657,109
ALG-324,693016562664,43
ALG-324,693016562671,44
ALG-324,693016562688,0
ALG-324,693016562695,0
ALG-372,693016585274,0
ALG-372,693016585281,5
ALG-372,693016585298,0
ALG-372,693016585304,34
ALG-372,693016585311,67
ALG-372,693016585328,82
ALG-372,693016585335,51
ALG-372,693016585342,27
ALG-372,693016585359,12
ALG-372,693016585366,0
ALG-422,693016569502,0
ALG-422,693016569519,25
ALG-422,693016569526,71
ALG-422,693016569533,159
ALG-422,693016569540,201
ALG-422,693016569557,226
ALG-422,693016569564,140
ALG-422,693016569571,89
ALG-422,693016569588,22
ALG-422,693016569595,0
ALG-425,693016570003,0
ALG-425,693016570010,18
ALG-425,693016570027,40
ALG-425,693016570034,81
ALG-425,693016570041,110
ALG-425,693016570058,128
ALG-425,693016570065,99
ALG-425,693016570072,49
ALG-425,693016570089,20
ALG-425,693016570096,0
ALG-429,693016569908,0
ALG-429,693016569915,16
ALG-429,693016569922,56
ALG-429,693016569939,61
ALG-429,693016569946,65
ALG-429,693016569953,53
ALG-429,693016569960,60
ALG-429,693016569977,41
ALG-429,693016569984,19
ALG-429,693016569991,0
ALG-531,693016266128,39
ALG-531,693016266135,64
ALG-531,693016266142,90
ALG-531,693016266159,131
ALG-531,693016266166,198
ALG-531,693016266173,162
ALG-531,693016266180,127
ALG-531,693016266197,84
ALG-532,693016266203,27
ALG-532,693016266210,11
ALG-532,693016266227,0
ALG-532,693016266234,0
ALG-532,693016266241,2
ALG-532,693016266258,0
ALG-532,693016266265,0
ALG-532,693016266272,0
ALG-542,693016533084,0
ALG-542,693016533091,24
ALG-542,693016533107,0
ALG-542,693016533114,0
ALG-542,693016533121,0
ALG-542,693016533138,0
ALG-542,693016533145,0
ALG-542,693016533152,0
ALG-542,693016533169,0
ALG-542,693016533176,0
ALG-575,693016569700,0
ALG-575,693016569717,4
ALG-575,693016569724,0
ALG-575,693016569731,11
ALG-575,693016569748,0
ALG-575,693016569755,4
ALG-575,693016569762,10
ALG-575,693016569779,25
ALG-575,693016569786,27
ALG-575,693016569793,0
ALG-601,693016214464,35
ALG-601,693016208494,36
ALG-601,693016208500,61
ALG-601,693016208517,91
ALG-601,693016208524,152
ALG-601,693016208531,58
ALG-601,693016208548,50
ALG-601,693016208555,18
ALG-631,693016272846,0
ALG-631,693016272853,0
ALG-631,693016272860,9
ALG-631,693016272877,17
ALG-631,693016272884,19
ALG-631,693016272891,0
ALG-631,693016272907,0
ALG-631,693016272914,0
ALG-637,693016273003,64
ALG-637,693016273010,32
ALG-637,693016273027,53
ALG-637,693016273034,53
ALG-637,693016273041,76
ALG-637,693016273058,47
ALG-637,693016273065,33
ALG-637,693016273072,17
ALG-644,693016519781,0
ALG-644,693016519798,9
ALG-644,693016519804,25
ALG-644,693016519811,50
ALG-644,693016519828,66
ALG-644,693016519835,69
ALG-644,693016519842,73
ALG-644,693016519859,42
ALG-644,693016519866,11
ALG-644,693016519873,0
ALG-686,693016585571,0
ALG-686,693016585588,2
ALG-686,693016585595,12
ALG-686,693016585601,47
ALG-686,693016585618,64
ALG-686,693016585625,75
ALG-686,693016585632,67
ALG-686,693016585649,25
ALG-686,693016585656,19
ALG-686,693016585663,0
ALG-719,693016569809,0
ALG-719,693016569816,8
ALG-719,693016569823,2
ALG-719,693016569830,48
ALG-719,693016569847,76
ALG-719,693016569854,68
ALG-719,693016569861,81
ALG-719,693016569878,28
ALG-719,693016569885,0
ALG-719,693016569892,0
ALG-998,693016543984,0
ALG-998,693016543991,15
ALG-998,693016544004,33
ALG-998,693016544011,69
ALG-998,693016544028,126
ALG-998,693016544035,128
ALG-998,693016544042,111
ALG-998,693016544059,79
ALG-998,693016544066,68
ALG-998,693016544073,0
ALG-998G,693016581566,0
ALG-998G,693016581573,22
ALG-998G,693016581580,54
ALG-998G,693016581597,115
ALG-998G,693016581603,206
ALG-998G,693016581610,201
ALG-998G,693016581627,180
ALG-998G,693016581634,168
ALG-998G,693016581641,115
ALG-998G,693016581658,0
ALG-998GW,693016584673,0
ALG-998GW,693016584680,0
ALG-998GW,693016584697,129
ALG-998GW,693016584703,246
ALG-998GW,693016584710,390
ALG-998GW,693016584727,429
ALG-998GW,693016584734,330
ALG-998GW,693016584741,242
ALG-998GW,693016584758,101
ALG-998GW,693016584765,0
ALG-998W,693016502349,5
ALG-998W,693016502356,68
ALG-998W,693016502363,107
ALG-998W,693016502370,161
ALG-998W,693016502387,153
ALG-998W,693016502394,246
ALG-998W,693016502400,98
ALG-998W,693016502417,45
ALG-999,693016299843,35
ALG-999,693016299850,12
ALG-999,693016299867,35
ALG-999,693016299874,528
ALG-999,693016299881,696
ALG-999,693016299898,826
ALG-999,693016299904,1014
ALG-999,693016299911,1443
ALG-999,693016299836,0
ALG-999,693016319527,214
ALG-999G,693016531783,12
ALG-999G,693016531790,38
ALG-999G,693016531806,123
ALG-999G,693016531813,261
ALG-999G,693016531820,423
ALG-999G,693016531837,359
ALG-999G,693016531844,293
ALG-999G,693016531851,212
ALG-999G,693016531868,252
ALG-999G,693016531875,23
ALG-999GW,693016531882,6
ALG-999GW,693016531899,25
ALG-999GW,693016531905,157
ALG-999GW,693016531912,383
ALG-999GW,693016531929,543
ALG-999GW,693016531936,480
ALG-999GW,693016531943,454
ALG-999GW,693016531950,328
ALG-999GW,693016531967,253
ALG-999GW,693016531974,80
ALG-999W,693016299928,247
ALG-999W,693016299935,958
ALG-999W,693016299942,2143
ALG-999W,693016299959,2772
ALG-999W,693016299966,2886
ALG-999W,693016299973,2318
ALG-999W,693016299980,1369
ALG-999W,693016299997,1256
ALG-999W,693016502325,15
ALG-999W,693016319534,20
ALG-ALL-431,693016491285,0
ALG-ALL-431,693016491292,0
ALG-ALL-431,693016491308,4
ALG-ALL-431,693016491315,2
ALG-ALL-431,693016491322,16
ALG-ALL-431,693016491339,3
ALG-ALL-431,693016491346,5
ALG-ALL-431,693016491353,5
ALG-ALL-431,693016491360,0
ALG-ALL-431,693016491377,0
ALG-ALL-571,693016293957,144
ALG-ALL-571,693016293964,96
ALG-ALL-571,693016293971,276
ALG-ALL-571,693016293988,339
ALG-ALL-571,693016293995,287
ALG-ALL-571,693016294008,165
ALG-ALL-571,693016294015,77
ALG-ALL-571,693016294022,29
ALG-ALL-574,693016548026,0
ALG-ALL-574,693016548033,9
ALG-ALL-574,693016548040,59
ALG-ALL-574,693016548057,99
ALG-ALL-574,693016548064,116
ALG-ALL-574,693016548071,136
ALG-ALL-574,693016548088,57
ALG-ALL-574,693016548095,18
ALG-ALL-574,693016548101,13
ALG-ALL-574,693016548118,0
ALG-ALL-576,693016571703,0
ALG-ALL-576,693016571710,15
ALG-ALL-576,693016571727,37
ALG-ALL-576,693016571734,33
ALG-ALL-576,693016571741,73
ALG-ALL-576,693016571758,49
ALG-ALL-576,693016571765,8
ALG-ALL-576,693016571772,19
ALG-ALL-576,693016571789,0
ALG-ALL-576,693016571796,0
ALG-ARI-346,693016580668,0
ALG-ARI-346,693016580675,20
ALG-ARI-346,693016580682,67
ALG-ARI-346,693016580699,101
ALG-ARI-346,693016580705,140
ALG-ARI-346,693016580712,148
ALG-ARI-346,693016580729,118
ALG-ARI-346,693016580736,94
ALG-ARI-346,693016580743,39
ALG-ARI-346,693016580750,0
ALG-ARI-601,693016580460,0
ALG-ARI-601,693016580477,7
ALG-ARI-601,693016580484,4
ALG-ARI-601,693016580491,0
ALG-ARI-601,693016580507,0
ALG-ARI-601,693016580514,5
ALG-ARI-601,693016580521,3
ALG-ARI-601,693016580538,0
ALG-ARI-601,693016580545,0
ALG-ARI-601,693016580552,0
ALG-ARI-882,693016580569,0
ALG-ARI-882,693016580576,13
ALG-ARI-882,693016580583,12
ALG-ARI-882,693016580590,42
ALG-ARI-882,693016580606,57
ALG-ARI-882,693016580613,51
ALG-ARI-882,693016580620,29
ALG-ARI-882,693016580637,0
ALG-ARI-882,693016580644,0
ALG-ARI-882,693016580651,0
ALG-AVA-101,693016291205,0
ALG-AVA-101,693016291212,0
ALG-AVA-101,693016291229,0
ALG-AVA-101,693016291236,0
ALG-AVA-101,693016291243,0
ALG-AVA-101,693016291250,0
ALG-AVA-101,693016291267,0
ALG-AVA-101,693016291274,0
ALG-AVA-601,693016291281,0
ALG-AVA-601,693016291298,0
ALG-AVA-601,693016291304,0
ALG-AVA-601,693016291311,0
ALG-AVA-601,693016291328,0
ALG-AVA-601,693016291335,0
ALG-AVA-601,693016291342,0
ALG-AVA-601,693016291359,0
ALG-AVR-601,693016291120,7
ALG-AVR-601,693016291137,16
ALG-AVR-601,693016291144,0
ALG-AVR-601,693016291151,0
ALG-AVR-601,693016291168,0
ALG-AVR-601,693016291175,0
ALG-AVR-601,693016291182,0
ALG-AVR-601,693016291199,0
ALG-BEL-101,693016288908,54
ALG-BEL-101,693016288915,181
ALG-BEL-101,693016288922,273
ALG-BEL-101,693016288939,394
ALG-BEL-101,693016288946,345
ALG-BEL-101,693016288953,208
ALG-BEL-101,693016288960,119
ALG-BEL-101,693016288977,130
ALG-BEL-139,693016586479,0
ALG-BEL-139,693016586486,14
ALG-BEL-139,693016586493,18
ALG-BEL-139,693016586509,44
ALG-BEL-139,693016586516,66
ALG-BEL-139,693016586523,80
ALG-BEL-139,693016586530,53
ALG-BEL-139,693016586547,25
ALG-BEL-139,693016586554,19
ALG-BEL-139,693016586561,0
ALG-BEL-180,693016289226,0
ALG-BEL-180,693016289233,0
ALG-BEL-180,693016289240,0
ALG-BEL-180,693016289257,0
ALG-BEL-180,693016289264,0
ALG-BEL-180,693016289271,0
ALG-BEL-180,693016289288,0
ALG-BEL-180,693016289295,0
ALG-BEL-316,693016572007,0
ALG-BEL-316,693016572014,32
ALG-BEL-316,693016572021,60
ALG-BEL-316,693016572038,89
ALG-BEL-316,693016572045,144
ALG-BEL-316,693016572052,111
ALG-BEL-316,693016572069,56
ALG-BEL-316,693016572076,40
ALG-BEL-316,693016572083,28
ALG-BEL-316,693016572090,0
ALG-BEL-385,693016548224,0
ALG-BEL-385,693016548231,10
ALG-BEL-385,693016548248,23
ALG-BEL-385,693016548255,12
ALG-BEL-385,693016548262,10
ALG-BEL-385,693016548279,24
ALG-BEL-385,693016548286,0
ALG-BEL-385,693016548293,0
ALG-BEL-385,693016548309,0
ALG-BEL-385,693016548316,0
ALG-BEL-391,693016509959,0
ALG-BEL-391,693016509966,55
ALG-BEL-391,693016509973,107
ALG-BEL-391,693016509980,174
ALG-BEL-391,693016509997,201
ALG-BEL-391,693016510009,217
ALG-BEL-391,693016510016,133
ALG-BEL-391,693016510023,110
