ItemNo,UPCcode,Current_Quantity_Available
ALG-137,693016585175,0
ALG-137,693016585182,12
ALG-137,693016585199,16
ALG-137,693016585205,74
ALG-137,693016585212,108
ALG-137,693016585229,139
ALG-137,693016585236,109
ALG-137,693016585243,66
ALG-137,693016585250,18
ALG-137,693016585267,0
ALG-138,693016585373,0
ALG-138,693016585380,11
ALG-138,693016585397,20
ALG-138,693016585403,67
ALG-138,693016585410,103
ALG-138,693016585427,93
ALG-138,693016585434,83
ALG-138,693016585441,39
ALG-138,693016585458,22
ALG-138,693016585465,0
ALG-139,693016585472,0
ALG-139,693016585489,6
ALG-139,693016585496,13
ALG-139,693016585502,10
ALG-139,693016585519,40
ALG-139,693016585526,66
ALG-139,693016585533,30
ALG-139,693016585540,26
ALG-139,693016585557,13
ALG-139,693016585564,0
ALG-231,693016532681,0
ALG-231,693016532698,12
ALG-231,693016532704,23
ALG-231,693016532711,47
ALG-231,693016532728,100
ALG-231,693016532735,121
ALG-231,693016532742,16
ALG-231,693016532759,8
ALG-231,693016532766,2
ALG-231,693016532773,0
ALG-233,693016532889,0
ALG-233,693016532896,0
ALG-233,693016532902,0
ALG-233,693016532919,0
ALG-233,693016532926,0
ALG-233,693016532933,0
ALG-233,693016532940,0
ALG-233,693016532957,0
ALG-233,693016532964,0
ALG-233,693016532971,0
ALG-324,693016562602,0
ALG-324,693016562619,6
ALG-324,693016562626,37
ALG-324,693016562633,54
ALG-324,693016562640,88
ALG-324,693016562657,94
ALG-324,693016562664,29
ALG-324,693016562671,33
ALG-324,693016562688,0
ALG-324,693016562695,0
ALG-372,693016585274,0
ALG-372,693016585281,4
ALG-372,693016585298,0
ALG-372,693016585304,23
ALG-372,693016585311,52
ALG-372,693016585328,67
ALG-372,693016585335,47
ALG-372,693016585342,22
ALG-372,693016585359,9
ALG-372,693016585366,0
ALG-422,693016569502,0
ALG-422,693016569519,23
ALG-422,693016569526,71
ALG-422,693016569533,153
ALG-422,693016569540,197
ALG-422,693016569557,222
ALG-422,693016569564,136
ALG-422,693016569571,87
ALG-422,693016569588,17
ALG-422,693016569595,0
ALG-425,693016570003,0
ALG-425,693016570010,18
ALG-425,693016570027,39
ALG-425,693016570034,72
ALG-425,693016570041,99
ALG-425,693016570058,123
ALG-425,693016570065,89
ALG-425,693016570072,45
ALG-425,693016570089,17
ALG-425,693016570096,0
ALG-429,693016569908,0
ALG-429,693016569915,16
ALG-429,693016569922,53
ALG-429,693016569939,54
ALG-429,693016569946,59
ALG-429,693016569953,46
ALG-429,693016569960,54
ALG-429,693016569977,34
ALG-429,693016569984,17
ALG-429,693016569991,0
ALG-531,693016266128,38
ALG-531,693016266135,57
ALG-531,693016266142,78
ALG-531,693016266159,109
ALG-531,693016266166,176
ALG-531,693016266173,146
ALG-531,693016266180,112
ALG-531,693016266197,70
ALG-532,693016266203,25
ALG-532,693016266210,10
ALG-532,693016266227,0
ALG-532,693016266234,0
ALG-532,693016266241,0
ALG-532,693016266258,0
ALG-532,693016266265,0
ALG-532,693016266272,0
ALG-542,693016533084,0
ALG-542,693016533091,24
ALG-542,693016533107,0
ALG-542,693016533114,0
ALG-542,693016533121,0
ALG-542,693016533138,0
ALG-542,693016533145,0
ALG-542,693016533152,0
ALG-542,693016533169,0
ALG-542,693016533176,0
ALG-575,693016569700,0
ALG-575,693016569717,14
ALG-575,693016569724,34
ALG-575,693016569731,69
ALG-575,693016569748,75
ALG-575,693016569755,91
ALG-575,693016569762,73
ALG-575,693016569779,62
ALG-575,693016569786,36
ALG-575,693016569793,0
ALG-601,693016214464,33
ALG-601,693016208494,34
ALG-601,693016208500,56
ALG-601,693016208517,82
ALG-601,693016208524,134
ALG-601,693016208531,49
ALG-601,693016208548,44
ALG-601,693016208555,12
ALG-631,693016272846,0
ALG-631,693016272853,0
ALG-631,693016272860,0
ALG-631,693016272877,0
ALG-631,693016272884,0
ALG-631,693016272891,0
ALG-631,693016272907,0
ALG-631,693016272914,0
ALG-637,693016273003,54
ALG-637,693016273010,0
ALG-637,693016273027,0
ALG-637,693016273034,0
ALG-637,693016273041,0
ALG-637,693016273058,0
ALG-637,693016273065,0
ALG-637,693016273072,0
ALG-644,693016519781,0
ALG-644,693016519798,6
ALG-644,693016519804,23
ALG-644,693016519811,40
ALG-644,693016519828,59
ALG-644,693016519835,69
ALG-644,693016519842,60
ALG-644,693016519859,38
ALG-644,693016519866,9
ALG-644,693016519873,0
ALG-686,693016585571,0
ALG-686,693016585588,0
ALG-686,693016585595,11
ALG-686,693016585601,43
ALG-686,693016585618,46
ALG-686,693016585625,59
ALG-686,693016585632,53
ALG-686,693016585649,14
ALG-686,693016585656,12
ALG-686,693016585663,0
ALG-719,693016569809,0
ALG-719,693016569816,7
ALG-719,693016569823,0
ALG-719,693016569830,48
ALG-719,693016569847,64
ALG-719,693016569854,61
ALG-719,693016569861,77
ALG-719,693016569878,26
ALG-719,693016569885,0
ALG-719,693016569892,0
ALG-998,693016543984,0
ALG-998,693016543991,15
ALG-998,693016544004,31
ALG-998,693016544011,67
ALG-998,693016544028,122
ALG-998,693016544035,123
ALG-998,693016544042,106
ALG-998,693016544059,76
ALG-998,693016544066,67
ALG-998,693016544073,0
ALG-998G,693016581566,0
ALG-998G,693016581573,21
ALG-998G,693016581580,54
ALG-998G,693016581597,106
ALG-998G,693016581603,195
ALG-998G,693016581610,182
ALG-998G,693016581627,177
ALG-998G,693016581634,164
ALG-998G,693016581641,115
ALG-998G,693016581658,0
ALG-998GW,693016584673,0
ALG-998GW,693016584680,0
ALG-998GW,693016584697,108
ALG-998GW,693016584703,194
ALG-998GW,693016584710,336
ALG-998GW,693016584727,376
ALG-998GW,693016584734,278
ALG-998GW,693016584741,200
ALG-998GW,693016584758,60
ALG-998GW,693016584765,0
ALG-998W,693016502349,0
ALG-998W,693016502356,68
ALG-998W,693016502363,107
ALG-998W,693016502370,155
ALG-998W,693016502387,151
ALG-998W,693016502394,245
ALG-998W,693016502400,91
ALG-998W,693016502417,43
ALG-999,693016299843,24
ALG-999,693016299850,0
ALG-999,693016299867,0
ALG-999,693016299874,384
ALG-999,693016299881,562
ALG-999,693016299898,749
ALG-999,693016299904,973
ALG-999,693016299911,1424
ALG-999,693016299836,0
ALG-999,693016319527,213
ALG-999G,693016531783,11
ALG-999G,693016531790,28
ALG-999G,693016531806,76
ALG-999G,693016531813,197
ALG-999G,693016531820,328
ALG-999G,693016531837,273
ALG-999G,693016531844,222
ALG-999G,693016531851,173
ALG-999G,693016531868,241
ALG-999G,693016531875,21
ALG-999GW,693016531882,5
ALG-999GW,693016531899,15
ALG-999GW,693016531905,131
ALG-999GW,693016531912,339
ALG-999GW,693016531929,466
ALG-999GW,693016531936,435
ALG-999GW,693016531943,408
ALG-999GW,693016531950,294
ALG-999GW,693016531967,221
ALG-999GW,693016531974,79
ALG-999W,693016299928,140
ALG-999W,693016299935,1128
ALG-999W,693016299942,2480
ALG-999W,693016299959,3549
ALG-999W,693016299966,3817
ALG-999W,693016299973,3413
ALG-999W,693016299980,1978
ALG-999W,693016299997,1845
ALG-999W,693016502325,0
ALG-999W,693016319534,74
ALG-ALL-431,693016491285,0
ALG-ALL-431,693016491292,11
ALG-ALL-431,693016491308,21
ALG-ALL-431,693016491315,79
ALG-ALL-431,693016491322,136
ALG-ALL-431,693016491339,127
ALG-ALL-431,693016491346,101
ALG-ALL-431,693016491353,81
ALG-ALL-431,693016491360,50
ALG-ALL-431,693016491377,0
ALG-ALL-571,693016293957,144
ALG-ALL-571,693016293964,96
ALG-ALL-571,693016293971,268
ALG-ALL-571,693016293988,325
ALG-ALL-571,693016293995,276
ALG-ALL-571,693016294008,157
ALG-ALL-571,693016294015,71
ALG-ALL-571,693016294022,27
ALG-ALL-574,693016548026,0
ALG-ALL-574,693016548033,8
ALG-ALL-574,693016548040,58
ALG-ALL-574,693016548057,95
ALG-ALL-574,693016548064,113
ALG-ALL-574,693016548071,133
ALG-ALL-574,693016548088,51
ALG-ALL-574,693016548095,14
ALG-ALL-574,693016548101,13
ALG-ALL-574,693016548118,0
ALG-ALL-576,693016571703,0
ALG-ALL-576,693016571710,15
ALG-ALL-576,693016571727,34
ALG-ALL-576,693016571734,33
ALG-ALL-576,693016571741,64
ALG-ALL-576,693016571758,39
ALG-ALL-576,693016571765,3
ALG-ALL-576,693016571772,12
ALG-ALL-576,693016571789,0
ALG-ALL-576,693016571796,0
ALG-ARI-346,693016580668,0
ALG-ARI-346,693016580675,20
ALG-ARI-346,693016580682,67
ALG-ARI-346,693016580699,101
ALG-ARI-346,693016580705,140
ALG-ARI-346,693016580712,148
ALG-ARI-346,693016580729,119
ALG-ARI-346,693016580736,94
ALG-ARI-346,693016580743,39
ALG-ARI-346,693016580750,0
ALG-ARI-601,693016580460,0
ALG-ARI-601,693016580477,7
ALG-ARI-601,693016580484,4
ALG-ARI-601,693016580491,0
ALG-ARI-601,693016580507,0
ALG-ARI-601,693016580514,5
ALG-ARI-601,693016580521,3
ALG-ARI-601,693016580538,0
ALG-ARI-601,693016580545,0
ALG-ARI-601,693016580552,0
ALG-ARI-882,693016580569,0
ALG-ARI-882,693016580576,13
ALG-ARI-882,693016580583,12
ALG-ARI-882,693016580590,42
ALG-ARI-882,693016580606,57
ALG-ARI-882,693016580613,51
ALG-ARI-882,693016580620,29
ALG-ARI-882,693016580637,0
ALG-ARI-882,693016580644,0
ALG-ARI-882,693016580651,0
ALG-AVA-101,693016291205,0
ALG-AVA-101,693016291212,0
ALG-AVA-101,693016291229,0
ALG-AVA-101,693016291236,0
ALG-AVA-101,693016291243,0
ALG-AVA-101,693016291250,0
ALG-AVA-101,693016291267,0
ALG-AVA-101,693016291274,0
ALG-AVA-601,693016291281,0
ALG-AVA-601,693016291298,0
ALG-AVA-601,693016291304,0
ALG-AVA-601,693016291311,0
ALG-AVA-601,693016291328,0
ALG-AVA-601,693016291335,0
ALG-AVA-601,693016291342,0
ALG-AVA-601,693016291359,0
ALG-AVR-601,693016291120,7
ALG-AVR-601,693016291137,16
ALG-AVR-601,693016291144,0
ALG-AVR-601,693016291151,0
ALG-AVR-601,693016291168,0
ALG-AVR-601,693016291175,0
ALG-AVR-601,693016291182,0
ALG-AVR-601,693016291199,0
ALG-BEL-101,693016288908,54
ALG-BEL-101,693016288915,177
ALG-BEL-101,693016288922,265
ALG-BEL-101,693016288939,374
ALG-BEL-101,693016288946,332
ALG-BEL-101,693016288953,197
ALG-BEL-101,693016288960,111
ALG-BEL-101,693016288977,119
ALG-BEL-139,693016586479,0
ALG-BEL-139,693016586486,13
ALG-BEL-139,693016586493,14
ALG-BEL-139,693016586509,41
ALG-BEL-139,693016586516,55
ALG-BEL-139,693016586523,75
ALG-BEL-139,693016586530,48
ALG-BEL-139,693016586547,20
ALG-BEL-139,693016586554,15
ALG-BEL-139,693016586561,0
ALG-BEL-180,693016289226,0
ALG-BEL-180,693016289233,0
ALG-BEL-180,693016289240,0
ALG-BEL-180,693016289257,0
ALG-BEL-180,693016289264,0
ALG-BEL-180,693016289271,0
ALG-BEL-180,693016289288,0
ALG-BEL-180,693016289295,0
ALG-BEL-316,693016572007,0
ALG-BEL-316,693016572014,32
ALG-BEL-316,693016572021,60
ALG-BEL-316,693016572038,81
ALG-BEL-316,693016572045,136
ALG-BEL-316,693016572052,104
ALG-BEL-316,693016572069,51
ALG-BEL-316,693016572076,35
ALG-BEL-316,693016572083,24
ALG-BEL-316,693016572090,0
ALG-BEL-385,693016548224,0
ALG-BEL-385,693016548231,0
ALG-BEL-385,693016548248,0
ALG-BEL-385,693016548255,0
ALG-BEL-385,693016548262,0
ALG-BEL-385,693016548279,0
ALG-BEL-385,693016548286,0
ALG-BEL-385,693016548293,0
ALG-BEL-385,693016548309,0
ALG-BEL-385,693016548316,0
ALG-BEL-391,693016509959,0
ALG-BEL-391,693016509966,45
ALG-BEL-391,693016509973,89
ALG-BEL-391,693016509980,94
ALG-BEL-391,693016509997,99
ALG-BEL-391,693016510009,119
ALG-BEL-391,693016510016,73
ALG-BEL-391,693016510023,51
