ItemNo,UPCcode,Current_Quantity_Available
ALG-137,693016585175,0
ALG-137,693016585182,7
ALG-137,693016585199,3
ALG-137,693016585205,42
ALG-137,693016585212,67
ALG-137,693016585229,102
ALG-137,693016585236,82
ALG-137,693016585243,45
ALG-137,693016585250,11
ALG-137,693016585267,0
ALG-138,693016585373,0
ALG-138,693016585380,11
ALG-138,693016585397,18
ALG-138,693016585403,61
ALG-138,693016585410,95
ALG-138,693016585427,86
ALG-138,693016585434,75
ALG-138,693016585441,34
ALG-138,693016585458,19
ALG-138,693016585465,0
ALG-139,693016585472,0
ALG-139,693016585489,3
ALG-139,693016585496,0
ALG-139,693016585502,0
ALG-139,693016585519,0
ALG-139,693016585526,28
ALG-139,693016585533,9
ALG-139,693016585540,8
ALG-139,693016585557,9
ALG-139,693016585564,0
ALG-231,693016532681,0
ALG-231,693016532698,10
ALG-231,693016532704,22
ALG-231,693016532711,31
ALG-231,693016532728,78
ALG-231,693016532735,95
ALG-231,693016532742,0
ALG-231,693016532759,0
ALG-231,693016532766,0
ALG-231,693016532773,0
ALG-324,693016562602,0
ALG-324,693016562619,3
ALG-324,693016562626,31
ALG-324,693016562633,31
ALG-324,693016562640,67
ALG-324,693016562657,74
ALG-324,693016562664,12
ALG-324,693016562671,22
ALG-324,693016562688,0
ALG-324,693016562695,0
ALG-372,693016585274,0
ALG-372,693016585281,3
ALG-372,693016585298,0
ALG-372,693016585304,12
ALG-372,693016585311,39
ALG-372,693016585328,57
ALG-372,693016585335,37
ALG-372,693016585342,16
ALG-372,693016585359,5
ALG-372,693016585366,0
ALG-422,693016569502,0
ALG-422,693016569519,23
ALG-422,693016569526,71
ALG-422,693016569533,152
ALG-422,693016569540,191
ALG-422,693016569557,219
ALG-422,693016569564,131
ALG-422,693016569571,86
ALG-422,693016569588,17
ALG-422,693016569595,0
ALG-425,693016570003,0
ALG-425,693016570010,17
ALG-425,693016570027,37
ALG-425,693016570034,63
ALG-425,693016570041,95
ALG-425,693016570058,116
ALG-425,693016570065,77
ALG-425,693016570072,40
ALG-425,693016570089,15
ALG-425,693016570096,0
ALG-429,693016569908,0
ALG-429,693016569915,16
ALG-429,693016569922,52
ALG-429,693016569939,50
ALG-429,693016569946,40
ALG-429,693016569953,31
ALG-429,693016569960,45
ALG-429,693016569977,25
ALG-429,693016569984,10
ALG-429,693016569991,0
ALG-531,693016266128,37
ALG-531,693016266135,50
ALG-531,693016266142,52
ALG-531,693016266159,84
ALG-531,693016266166,141
ALG-531,693016266173,123
ALG-531,693016266180,88
ALG-531,693016266197,56
ALG-532,693016266203,25
ALG-532,693016266210,10
ALG-532,693016266227,0
ALG-532,693016266234,0
ALG-532,693016266241,2
ALG-532,693016266258,0
ALG-532,693016266265,0
ALG-532,693016266272,0
ALG-542,693016533084,0
ALG-542,693016533091,23
ALG-542,693016533107,5
ALG-542,693016533114,0
ALG-542,693016533121,9
ALG-542,693016533138,0
ALG-542,693016533145,0
ALG-542,693016533152,0
ALG-542,693016533169,13
ALG-542,693016533176,0
ALG-575,693016569700,0
ALG-575,693016569717,14
ALG-575,693016569724,31
ALG-575,693016569731,64
ALG-575,693016569748,69
ALG-575,693016569755,83
ALG-575,693016569762,68
ALG-575,693016569779,56
ALG-575,693016569786,34
ALG-575,693016569793,0
ALG-601,693016214464,31
ALG-601,693016208494,26
ALG-601,693016208500,50
ALG-601,693016208517,57
ALG-601,693016208524,115
ALG-601,693016208531,42
ALG-601,693016208548,30
ALG-601,693016208555,0
ALG-631,693016272846,0
ALG-631,693016272853,0
ALG-631,693016272860,0
ALG-631,693016272877,0
ALG-631,693016272884,0
ALG-631,693016272891,0
ALG-631,693016272907,0
ALG-631,693016272914,0
ALG-644,693016519781,0
ALG-644,693016519798,6
ALG-644,693016519804,19
ALG-644,693016519811,21
ALG-644,693016519828,45
ALG-644,693016519835,61
ALG-644,693016519842,44
ALG-644,693016519859,29
ALG-644,693016519866,4
ALG-644,693016519873,0
ALG-686,693016585571,0
ALG-686,693016585588,0
ALG-686,693016585595,7
ALG-686,693016585601,30
ALG-686,693016585618,30
ALG-686,693016585625,38
ALG-686,693016585632,37
ALG-686,693016585649,3
ALG-686,693016585656,3
ALG-686,693016585663,0
ALG-719,693016569809,0
ALG-719,693016569816,6
ALG-719,693016569823,0
ALG-719,693016569830,41
ALG-719,693016569847,56
ALG-719,693016569854,45
ALG-719,693016569861,69
ALG-719,693016569878,24
ALG-719,693016569885,0
ALG-719,693016569892,0
ALG-998,693016543984,0
ALG-998,693016543991,31
ALG-998,693016544004,79
ALG-998,693016544011,179
ALG-998,693016544028,300
ALG-998,693016544035,311
ALG-998,693016544042,246
ALG-998,693016544059,205
ALG-998,693016544066,162
ALG-998,693016544073,0
ALG-998G,693016581566,0
ALG-998G,693016581573,30
ALG-998G,693016581580,71
ALG-998G,693016581597,214
ALG-998G,693016581603,322
ALG-998G,693016581610,415
ALG-998G,693016581627,338
ALG-998G,693016581634,286
ALG-998G,693016581641,168
ALG-998G,693016581658,0
ALG-998GW,693016584673,0
ALG-998GW,693016584680,0
ALG-998GW,693016584697,108
ALG-998GW,693016584703,193
ALG-998GW,693016584710,336
ALG-998GW,693016584727,376
ALG-998GW,693016584734,278
ALG-998GW,693016584741,199
ALG-998GW,693016584758,61
ALG-998GW,693016584765,0
ALG-998W,693016502349,0
ALG-998W,693016502356,65
ALG-998W,693016502363,104
ALG-998W,693016502370,152
ALG-998W,693016502387,152
ALG-998W,693016502394,242
ALG-998W,693016502400,90
ALG-998W,693016502417,42
ALG-999,693016299843,131
