ItemNo,UPCcode,Current_Quantity_Available
ALG-137,693016585175,0
ALG-137,693016585182,3
ALG-137,693016585199,17
ALG-137,693016585205,38
ALG-137,693016585212,73
ALG-137,693016585229,90
ALG-137,693016585236,72
ALG-137,693016585243,46
ALG-137,693016585250,4
ALG-137,693016585267,0
ALG-138,693016585373,0
ALG-138,693016585380,10
ALG-138,693016585397,9
ALG-138,693016585403,53
ALG-138,693016585410,86
ALG-138,693016585427,78
ALG-138,693016585434,69
ALG-138,693016585441,29
ALG-138,693016585458,16
ALG-138,693016585465,0
ALG-139,693016585472,0
ALG-139,693016585489,0
ALG-139,693016585496,0
ALG-139,693016585502,0
ALG-139,693016585519,0
ALG-139,693016585526,0
ALG-139,693016585533,0
ALG-139,693016585540,0
ALG-139,693016585557,0
ALG-139,693016585564,0
ALG-147,693016608942,0
ALG-147,693016608959,3
ALG-147,693016608966,26
ALG-147,693016608973,27
ALG-147,693016608980,17
ALG-147,693016608997,2
ALG-147,693016609000,7
ALG-147,693016609017,0
ALG-147,693016609024,0
ALG-148,693016609147,0
ALG-148,693016609154,0
ALG-148,693016609161,0
ALG-148,693016609178,0
ALG-148,693016609185,0
ALG-148,693016609192,0
ALG-148,693016609208,0
ALG-148,693016609215,0
ALG-148,693016609222,0
ALG-231,693016532681,0
ALG-231,693016532698,7
ALG-231,693016532704,16
ALG-231,693016532711,8
ALG-231,693016532728,51
ALG-231,693016532735,72
ALG-231,693016532742,0
ALG-231,693016532759,0
ALG-231,693016532766,0
ALG-231,693016532773,0
ALG-324,693016562602,0
ALG-324,693016562619,3
ALG-324,693016562626,24
ALG-324,693016562633,14
ALG-324,693016562640,35
ALG-324,693016562657,47
ALG-324,693016562664,0
ALG-324,693016562671,5
ALG-324,693016562688,0
ALG-324,693016562695,0
ALG-372,693016585274,0
ALG-372,693016585281,3
ALG-372,693016585298,0
ALG-372,693016585304,4
ALG-372,693016585311,25
ALG-372,693016585328,34
ALG-372,693016585335,17
ALG-372,693016585342,8
ALG-372,693016585359,0
ALG-372,693016585366,0
ALG-422,693016569502,0
ALG-422,693016569519,20
ALG-422,693016569526,61
ALG-422,693016569533,139
ALG-422,693016569540,174
ALG-422,693016569557,199
ALG-422,693016569564,123
ALG-422,693016569571,77
ALG-422,693016569588,11
ALG-422,693016569595,0
ALG-425,693016570003,0
ALG-425,693016570010,15
ALG-425,693016570027,31
ALG-425,693016570034,53
ALG-425,693016570041,77
ALG-425,693016570058,102
ALG-425,693016570065,67
ALG-425,693016570072,34
ALG-425,693016570089,13
ALG-425,693016570096,0
ALG-429,693016569908,0
ALG-429,693016569915,15
ALG-429,693016569922,45
ALG-429,693016569939,30
ALG-429,693016569946,21
ALG-429,693016569953,8
ALG-429,693016569960,23
ALG-429,693016569977,14
ALG-429,693016569984,0
ALG-429,693016569991,0
ALG-435,693016609345,0
ALG-435,693016609352,0
ALG-435,693016609369,0
ALG-435,693016609376,0
ALG-435,693016609383,0
ALG-435,693016609390,0
ALG-435,693016609406,0
ALG-435,693016609413,0
ALG-435,693016609420,0
ALG-531,693016266128,43
ALG-531,693016266135,108
ALG-531,693016266142,206
ALG-531,693016266159,217
ALG-531,693016266166,329
ALG-531,693016266173,257
ALG-531,693016266180,159
ALG-531,693016266197,68
ALG-532,693016266203,25
ALG-532,693016266210,10
ALG-532,693016266227,0
ALG-532,693016266234,0
ALG-532,693016266241,2
ALG-532,693016266258,0
ALG-532,693016266265,0
ALG-532,693016266272,0
ALG-542,693016533084,0
ALG-542,693016533091,21
ALG-542,693016533107,24
ALG-542,693016533114,0
ALG-542,693016533121,71
ALG-542,693016533138,0
ALG-542,693016533145,0
ALG-542,693016533152,19
ALG-542,693016533169,14
ALG-542,693016533176,0
ALG-570,693016609048,29
ALG-570,693016609055,36
ALG-570,693016609062,63
ALG-570,693016609079,72
ALG-570,693016609086,58
ALG-570,693016609093,37
ALG-570,693016609109,20
ALG-570,693016609116,0
ALG-570,693016609123,0
ALG-575,693016569700,0
ALG-575,693016569717,12
ALG-575,693016569724,28
ALG-575,693016569731,59
ALG-575,693016569748,58
ALG-575,693016569755,72
ALG-575,693016569762,61
