Inventory Reference,Inventory Date,Vendor Number,Buyer Part Number,UPC,Product Description,Qty
170714,20170714,1936304,ALG-324,693016562633,Classic Spiro Purple,13,
170714,20170714,1936304,ALG-324,693016562640,Classic Spiro Purple,34,
170714,20170714,1936304,ALG-324,693016562657,Classic Spiro Purple,44,
170714,20170714,1936304,ALG-324,693016562664,Classic Spiro Purple,0,
170714,20170714,1936304,ALG-324,693016562671,Classic Spiro Purple,3,
170714,20170714,1936304,ALG-324,693016562688,Classic Spiro Purple,0,
170714,20170714,1936304,ALG-324,693016562695,Classic Spiro Purple,0,
170714,20170714,1936304,ALG-344,693016546428,Classic Wild West Whiskey,0,
170714,20170714,1936304,ALG-344,693016546435,Classic Wild West Whiskey,0,
170714,20170714,1936304,ALG-344,693016546442,Classic Wild West Whiskey,0,
170714,20170714,1936304,ALG-344,693016546459,Classic Wild West Whiskey,0,
170714,20170714,1936304,ALG-344,693016546466,Classic Wild West Whiskey,0,
170714,20170714,1936304,ALG-344,693016546473,Classic Wild West Whiskey,0,
170714,20170714,1936304,ALG-344,693016546480,Classic Wild West Whiskey,0,
170714,20170714,1936304,ALG-344,693016546497,Classic Wild West Whiskey,0,
170714,20170714,1936304,ALG-344,693016546503,Classic Wild West Whiskey,0,
170714,20170714,1936304,ALG-344,693016546510,Classic Wild West Whiskey,0,
170714,20170714,1936304,ALG-345,693016546329,Classic Wild West Ash,0,
170714,20170714,1936304,ALG-345,693016546336,Classic Wild West Ash,0,
170714,20170714,1936304,ALG-345,693016546343,Classic Wild West Ash,0,
170714,20170714,1936304,ALG-345,693016546350,Classic Wild West Ash,0,
170714,20170714,1936304,ALG-345,693016546367,Classic Wild West Ash,0,
170714,20170714,1936304,ALG-345,693016546374,Classic Wild West Ash,0,
170714,20170714,1936304,ALG-345,693016546381,Classic Wild West Ash,0,
170714,20170714,1936304,ALG-345,693016546398,Classic Wild West Ash,0,
170714,20170714,1936304,ALG-345,693016546404,Classic Wild West Ash,0,
170714,20170714,1936304,ALG-345,693016546411,Classic Wild West Ash,0,
170714,20170714,1936304,ALG-372,693016585274,Classic Tectonic,0,
170714,20170714,1936304,ALG-372,693016585281,Classic Tectonic,3,
170714,20170714,1936304,ALG-372,693016585298,Classic Tectonic,0,
170714,20170714,1936304,ALG-372,693016585304,Classic Tectonic,4,
170714,20170714,1936304,ALG-372,693016585311,Classic Tectonic,25,
170714,20170714,1936304,ALG-372,693016585328,Classic Tectonic,33,
170714,20170714,1936304,ALG-372,693016585335,Classic Tectonic,16,
170714,20170714,1936304,ALG-372,693016585342,Classic Tectonic,6,
170714,20170714,1936304,ALG-372,693016585359,Classic Tectonic,0,
170714,20170714,1936304,ALG-372,693016585366,Classic Tectonic,0,
170714,20170714,1936304,ALG-422,693016569502,Classic Molasses Tooled,0,
170714,20170714,1936304,ALG-422,693016569519,Classic Molasses Tooled,20,
170714,20170714,1936304,ALG-422,693016569526,Classic Molasses Tooled,61,
170714,20170714,1936304,ALG-422,693016569533,Classic Molasses Tooled,139,
170714,20170714,1936304,ALG-422,693016569540,Classic Molasses Tooled,174,
170714,20170714,1936304,ALG-422,693016569557,Classic Molasses Tooled,199,
170714,20170714,1936304,ALG-422,693016569564,Classic Molasses Tooled,123,
170714,20170714,1936304,ALG-422,693016569571,Classic Molasses Tooled,77,
170714,20170714,1936304,ALG-422,693016569588,Classic Molasses Tooled,10,
170714,20170714,1936304,ALG-422,693016569595,Classic Molasses Tooled,0,
170714,20170714,1936304,ALG-425,693016570003,Classic Teal Tooled,0,
170714,20170714,1936304,ALG-425,693016570010,Classic Teal Tooled,14,
170714,20170714,1936304,ALG-425,693016570027,Classic Teal Tooled,31,
170714,20170714,1936304,ALG-425,693016570034,Classic Teal Tooled,54,
170714,20170714,1936304,ALG-425,693016570041,Classic Teal Tooled,77,
170714,20170714,1936304,ALG-425,693016570058,Classic Teal Tooled,101,
170714,20170714,1936304,ALG-425,693016570065,Classic Teal Tooled,67,
170714,20170714,1936304,ALG-425,693016570072,Classic Teal Tooled,34,
170714,20170714,1936304,ALG-425,693016570089,Classic Teal Tooled,13,
170714,20170714,1936304,ALG-425,693016570096,Classic Teal Tooled,0,
170714,20170714,1936304,ALG-429,693016569908,Classic Tar Tooled,0,
170714,20170714,1936304,ALG-429,693016569915,Classic Tar Tooled,15,
170714,20170714,1936304,ALG-429,693016569922,Classic Tar Tooled,45,
170714,20170714,1936304,ALG-429,693016569939,Classic Tar Tooled,29,
170714,20170714,1936304,ALG-429,693016569946,Classic Tar Tooled,20,
170714,20170714,1936304,ALG-429,693016569953,Classic Tar Tooled,9,
170714,20170714,1936304,ALG-429,693016569960,Classic Tar Tooled,23,
170714,20170714,1936304,ALG-429,693016569977,Classic Tar Tooled,13,
170714,20170714,1936304,ALG-429,693016569984,Classic Tar Tooled,0,
170714,20170714,1936304,ALG-429,693016569991,Classic Tar Tooled,0,
170714,20170714,1936304,ALG-434,693016504152,Classic Safari,0,
170714,20170714,1936304,ALG-434,693016504169,Classic Safari,0,
170714,20170714,1936304,ALG-434,693016504176,Classic Safari,0,
170714,20170714,1936304,ALG-434,693016504183,Classic Safari,0,
170714,20170714,1936304,ALG-434,693016504190,Classic Safari,0,
170714,20170714,1936304,ALG-434,693016504206,Classic Safari,0,
170714,20170714,1936304,ALG-434,693016504213,Classic Safari,0,
170714,20170714,1936304,ALG-434,693016504220,Classic Safari,0,
170714,20170714,1936304,ALG-434,693016504237,Classic Safari,0,
170714,20170714,1936304,ALG-434,693016504244,Classic Safari,0,
170714,20170714,1936304,ALG-435,693016609345,Classic Delicut,0,
170714,20170714,1936304,ALG-435,693016609352,Classic Delicut,0,
170714,20170714,1936304,ALG-435,693016609369,Classic Delicut,0,
170714,20170714,1936304,ALG-435,693016609376,Classic Delicut,0,
170714,20170714,1936304,ALG-435,693016609383,Classic Delicut,0,
170714,20170714,1936304,ALG-435,693016609390,Classic Delicut,0,
170714,20170714,1936304,ALG-435,693016609406,Classic Delicut,0,
170714,20170714,1936304,ALG-435,693016609413,Classic Delicut,0,
170714,20170714,1936304,ALG-435,693016609420,Classic Delicut,0,
170714,20170714,1936304,ALG-511,693016253029,Classic Black Tooled,0,
170714,20170714,1936304,ALG-511,693016253036,Classic Black Tooled,0,
170714,20170714,1936304,ALG-511,693016253043,Classic Black Tooled,0,
170714,20170714,1936304,ALG-511,693016253050,Classic Black Tooled,0,
170714,20170714,1936304,ALG-511,693016253067,Classic Black Tooled,0,
170714,20170714,1936304,ALG-511,693016253074,Classic Black Tooled,0,
170714,20170714,1936304,ALG-511,693016253081,Classic Black Tooled,0,
170714,20170714,1936304,ALG-511,693016253098,Classic Black Tooled,0,
170714,20170714,1936304,ALG-531,693016266128,Classic Black Emboss Rose,43,
170714,20170714,1936304,ALG-531,693016266135,Classic Black Emboss Rose,110,
170714,20170714,1936304,ALG-531,693016266142,Classic Black Emboss Rose,205,
170714,20170714,1936304,ALG-531,693016266159,Classic Black Emboss Rose,216,
170714,20170714,1936304,ALG-531,693016266166,Classic Black Emboss Rose,326,
170714,20170714,1936304,ALG-531,693016266173,Classic Black Emboss Rose,255,
170714,20170714,1936304,ALG-531,693016266180,Classic Black Emboss Rose,158,
170714,20170714,1936304,ALG-531,693016266197,Classic Black Emboss Rose,66,
170714,20170714,1936304,ALG-532,693016266203,Classic Brown Emboss Rose,25,
170714,20170714,1936304,ALG-532,693016266210,Classic Brown Emboss Rose,10,
170714,20170714,1936304,ALG-532,693016266227,Classic Brown Emboss Rose,0,
170714,20170714,1936304,ALG-532,693016266234,Classic Brown Emboss Rose,0,
170714,20170714,1936304,ALG-532,693016266241,Classic Brown Emboss Rose,2,
170714,20170714,1936304,ALG-532,693016266258,Classic Brown Emboss Rose,0,
170714,20170714,1936304,ALG-532,693016266265,Classic Brown Emboss Rose,0,
170714,20170714,1936304,ALG-532,693016266272,Classic Brown Emboss Rose,0,
170714,20170714,1936304,ALG-542,693016533084,Classic Pro Surreally Pretty,0,
170714,20170714,1936304,ALG-542,693016533091,Classic Pro Surreally Pretty,21,
170714,20170714,1936304,ALG-542,693016533107,Classic Pro Surreally Pretty,23,
170714,20170714,1936304,ALG-542,693016533114,Classic Pro Surreally Pretty,0,
170714,20170714,1936304,ALG-542,693016533121,Classic Pro Surreally Pretty,67,
170714,20170714,1936304,ALG-542,693016533138,Classic Pro Surreally Pretty,0,
170714,20170714,1936304,ALG-542,693016533145,Classic Pro Surreally Pretty,0,
170714,20170714,1936304,ALG-542,693016533152,Classic Pro Surreally Pretty,17,
170714,20170714,1936304,ALG-542,693016533169,Classic Pro Surreally Pretty,11,
170714,20170714,1936304,ALG-542,693016533176,Classic Pro Surreally Pretty,0,
170714,20170714,1936304,ALG-570,693016609048,Classic Blue Romance,17,
170714,20170714,1936304,ALG-570,693016609055,Classic Blue Romance,21,
170714,20170714,1936304,ALG-570,693016609062,Classic Blue Romance,46,
170714,20170714,1936304,ALG-570,693016609079,Classic Blue Romance,55,
170714,20170714,1936304,ALG-570,693016609086,Classic Blue Romance,42,
170714,20170714,1936304,ALG-570,693016609093,Classic Blue Romance,24,
170714,20170714,1936304,ALG-570,693016609109,Classic Blue Romance,12,
170714,20170714,1936304,ALG-570,693016609116,Classic Blue Romance,0,
170714,20170714,1936304,ALG-570,693016609123,Classic Blue Romance,0,
170714,20170714,1936304,ALG-575,693016569700,Classic Tan Yeehaw,0,
170714,20170714,1936304,ALG-575,693016569717,Classic Tan Yeehaw,12,
170714,20170714,1936304,ALG-575,693016569724,Classic Tan Yeehaw,28,
170714,20170714,1936304,ALG-575,693016569731,Classic Tan Yeehaw,59,
170714,20170714,1936304,ALG-575,693016569748,Classic Tan Yeehaw,58,
170714,20170714,1936304,ALG-575,693016569755,Classic Tan Yeehaw,71,
170714,20170714,1936304,ALG-575,693016569762,Classic Tan Yeehaw,60,
170714,20170714,1936304,ALG-575,693016569779,Classic Tan Yeehaw,49,
170714,20170714,1936304,ALG-575,693016569786,Classic Tan Yeehaw,30,
170714,20170714,1936304,ALG-575,693016569793,Classic Tan Yeehaw,0,
170714,20170714,1936304,ALG-601,693016214464,Classic Black Napa,30,
170714,20170714,1936304,ALG-601,693016208494,Classic Black Napa,2,
170714,20170714,1936304,ALG-601,693016208500,Classic Black Napa,11,
170714,20170714,1936304,ALG-601,693016208517,Classic Black Napa,3,
170714,20170714,1936304,ALG-601,693016208524,Classic Black Napa,68,
170714,20170714,1936304,ALG-601,693016208531,Classic Black Napa,0,
170714,20170714,1936304,ALG-601,693016208548,Classic Black Napa,0,
170714,20170714,1936304,ALG-601,693016208555,Classic Black Napa,0,
170714,20170714,1936304,ALG-631,693016272846,Classic Dusty Black,0,
170714,20170714,1936304,ALG-631,693016272853,Classic Dusty Black,0,
170714,20170714,1936304,ALG-631,693016272860,Classic Dusty Black,0,
170714,20170714,1936304,ALG-631,693016272877,Classic Dusty Black,0,
170714,20170714,1936304,ALG-631,693016272884,Classic Dusty Black,0,
170714,20170714,1936304,ALG-631,693016272891,Classic Dusty Black,0,
170714,20170714,1936304,ALG-631,693016272907,Classic Dusty Black,0,
170714,20170714,1936304,ALG-631,693016272914,Classic Dusty Black,0,
170714,20170714,1936304,ALG-637,693016273003,Classic Dusty Cognac,49,
170714,20170714,1936304,ALG-637,693016273010,Classic Dusty Cognac,0,
170714,20170714,1936304,ALG-637,693016273027,Classic Dusty Cognac,0,
170714,20170714,1936304,ALG-637,693016273034,Classic Dusty Cognac,0,
170714,20170714,1936304,ALG-637,693016273041,Classic Dusty Cognac,0,
170714,20170714,1936304,ALG-637,693016273058,Classic Dusty Cognac,0,
170714,20170714,1936304,ALG-637,693016273065,Classic Dusty Cognac,0,
170714,20170714,1936304,ALG-637,693016273072,Classic Dusty Cognac,0,
170714,20170714,1936304,ALG-640,693016609246,Classic Jet Luster,0,
170714,20170714,1936304,ALG-640,693016609253,Classic Jet Luster,18,
170714,20170714,1936304,ALG-640,693016609260,Classic Jet Luster,32,
170714,20170714,1936304,ALG-640,693016609277,Classic Jet Luster,62,
170714,20170714,1936304,ALG-640,693016609284,Classic Jet Luster,39,
170714,20170714,1936304,ALG-640,693016609291,Classic Jet Luster,5,
170714,20170714,1936304,ALG-640,693016609307,Classic Jet Luster,7,
170714,20170714,1936304,ALG-640,693016609314,Classic Jet Luster,0,
170714,20170714,1936304,ALG-640,693016609321,Classic Jet Luster,0,
170714,20170714,1936304,ALG-644,693016519781,Classic Breezy Tawny,0,
170714,20170714,1936304,ALG-644,693016519798,Classic Breezy Tawny,7,
170714,20170714,1936304,ALG-644,693016519804,Classic Breezy Tawny,8,
170714,20170714,1936304,ALG-644,693016519811,Classic Breezy Tawny,16,
170714,20170714,1936304,ALG-644,693016519828,Classic Breezy Tawny,27,
170714,20170714,1936304,ALG-644,693016519835,Classic Breezy Tawny,41,
170714,20170714,1936304,ALG-644,693016519842,Classic Breezy Tawny,37,
170714,20170714,1936304,ALG-644,693016519859,Classic Breezy Tawny,19,
170714,20170714,1936304,ALG-644,693016519866,Classic Breezy Tawny,0,
170714,20170714,1936304,ALG-644,693016519873,Classic Breezy Tawny,0,
170714,20170714,1936304,ALG-686,693016585571,Classic Swirly Goodness,0,
170714,20170714,1936304,ALG-686,693016585588,Classic Swirly Goodness,11,
170714,20170714,1936304,ALG-686,693016585595,Classic Swirly Goodness,39,
170714,20170714,1936304,ALG-686,693016585601,Classic Swirly Goodness,95,
170714,20170714,1936304,ALG-686,693016585618,Classic Swirly Goodness,138,
170714,20170714,1936304,ALG-686,693016585625,Classic Swirly Goodness,152,
170714,20170714,1936304,ALG-686,693016585632,Classic Swirly Goodness,113,
170714,20170714,1936304,ALG-686,693016585649,Classic Swirly Goodness,76,
170714,20170714,1936304,ALG-686,693016585656,Classic Swirly Goodness,32,
170714,20170714,1936304,ALG-686,693016585663,Classic Swirly Goodness,0,
170714,20170714,1936304,ALG-711,693016488384,Classic Black Burnish Snake,0,
170714,20170714,1936304,ALG-711,693016488391,Classic Black Burnish Snake,0,
170714,20170714,1936304,ALG-711,693016488407,Classic Black Burnish Snake,0,
170714,20170714,1936304,ALG-711,693016488414,Classic Black Burnish Snake,0,
170714,20170714,1936304,ALG-711,693016488421,Classic Black Burnish Snake,0,
170714,20170714,1936304,ALG-711,693016488438,Classic Black Burnish Snake,0,
170714,20170714,1936304,ALG-711,693016488445,Classic Black Burnish Snake,0,
170714,20170714,1936304,ALG-711,693016488452,Classic Black Burnish Snake,0,
170714,20170714,1936304,ALG-711,693016488469,Classic Black Burnish Snake,0,
170714,20170714,1936304,ALG-711,693016488476,Classic Black Burnish Snake,0,
170714,20170714,1936304,ALG-715,693016256068,Classic Brilliant Snake,0,
170714,20170714,1936304,ALG-715,693016256075,Classic Brilliant Snake,0,
170714,20170714,1936304,ALG-715,693016256082,Classic Brilliant Snake,0,
170714,20170714,1936304,ALG-715,693016256099,Classic Brilliant Snake,0,
170714,20170714,1936304,ALG-715,693016256105,Classic Brilliant Snake,0,
170714,20170714,1936304,ALG-715,693016256112,Classic Brilliant Snake,0,
170714,20170714,1936304,ALG-715,693016256129,Classic Brilliant Snake,0,
170714,20170714,1936304,ALG-715,693016256136,Classic Brilliant Snake,0,
170714,20170714,1936304,ALG-719,693016569809,Classic Pewter Thumbprint,0,
170714,20170714,1936304,ALG-719,693016569816,Classic Pewter Thumbprint,6,
170714,20170714,1936304,ALG-719,693016569823,Classic Pewter Thumbprint,0,
170714,20170714,1936304,ALG-719,693016569830,Classic Pewter Thumbprint,38,
170714,20170714,1936304,ALG-719,693016569847,Classic Pewter Thumbprint,45,
170714,20170714,1936304,ALG-719,693016569854,Classic Pewter Thumbprint,46,
170714,20170714,1936304,ALG-719,693016569861,Classic Pewter Thumbprint,65,
170714,20170714,1936304,ALG-719,693016569878,Classic Pewter Thumbprint,22,
170714,20170714,1936304,ALG-719,693016569885,Classic Pewter Thumbprint,0,
170714,20170714,1936304,ALG-719,693016569892,Classic Pewter Thumbprint,0,
170714,20170714,1936304,ALG-759,693016569601,Classic Posh Pewter,0,
170714,20170714,1936304,ALG-759,693016569618,Classic Posh Pewter,0,
170714,20170714,1936304,ALG-759,693016569625,Classic Posh Pewter,0,
170714,20170714,1936304,ALG-759,693016569632,Classic Posh Pewter,0,
170714,20170714,1936304,ALG-759,693016569649,Classic Posh Pewter,0,
170714,20170714,1936304,ALG-759,693016569656,Classic Posh Pewter,0,
170714,20170714,1936304,ALG-759,693016569663,Classic Posh Pewter,0,
170714,20170714,1936304,ALG-759,693016569670,Classic Posh Pewter,0,
170714,20170714,1936304,ALG-759,693016569687,Classic Posh Pewter,0,
