693016585175,0
693016585182,4
693016585199,25
693016585205,58
693016585212,97
693016585229,115
693016585236,87
693016585243,54
693016585250,22
693016585267,0
693016585373,0
693016585380,9
693016585397,8
693016585403,40
693016585410,81
693016585427,74
693016585434,64
693016585441,26
693016585458,16
693016585465,0
693016585472,0
693016585489,0
693016585496,0
693016585502,0
693016585519,0
693016585526,0
693016585533,0
693016585540,0
693016585557,0
693016585564,0
693016608942,0
693016608959,0
693016608966,20
693016608973,23
693016608980,14
693016608997,0
693016609000,6
693016609017,0
693016609024,0
693016609147,0
693016609154,0
693016609161,0
693016609178,0
693016609185,0
693016609192,0
693016609208,0
693016609215,0
693016609222,0
693016532681,0
693016532698,6
693016532704,4
693016532711,4
693016532728,44
693016532735,62
693016532742,0
693016532759,0
693016532766,0
693016532773,0
693016562602,0
693016562619,2
693016562626,23
693016562633,11
693016562640,27
693016562657,39
693016562664,2
693016562671,2
693016562688,0
693016562695,0
693016585274,0
693016585281,2
693016585298,0
693016585304,2
693016585311,21
693016585328,28
693016585335,16
693016585342,5
693016585359,0
693016585366,0
693016569502,0
693016569519,20
693016569526,61
693016569533,140
693016569540,173
693016569557,198
693016569564,122
693016569571,79
693016569588,9
693016569595,0
693016570003,0
693016570010,14
693016570027,30
693016570034,52
693016570041,77
693016570058,99
693016570065,67
693016570072,34
693016570089,12
693016570096,0
693016569908,0
693016569915,15
693016569922,44
693016569939,26
693016569946,13
693016569953,4
693016569960,15
693016569977,12
693016569984,0
693016569991,0
693016609345,53
693016609352,127
693016609369,199
693016609376,210
693016609383,162
693016609390,93
693016609406,42
693016609413,0
693016609420,0
693016266128,41
693016266135,106
693016266142,201
693016266159,209
693016266166,319
693016266173,248
693016266180,153
693016266197,66
693016266203,22
693016266210,10
693016266227,0
693016266234,0
693016266241,0
693016266258,0
693016266265,0
693016266272,0
693016533084,0
693016533091,21
693016533107,21
693016533114,0
693016533121,55
693016533138,0
693016533145,0
693016533152,12
693016533169,7
693016533176,0
693016609048,37
693016609055,70
693016609062,125
693016609079,154
693016609086,121
693016609093,73
693016609109,30
693016609116,0
693016609123,0
693016569700,0
693016569717,12
693016569724,26
693016569731,59
693016569748,56
693016569755,70
693016569762,60
693016569779,47
693016569786,30
693016569793,0
693016214464,29
693016208494,2
693016208500,9
693016208517,0
693016208524,61
693016208531,0
693016208548,0
693016208555,0
693016272846,0
693016272853,0
693016272860,0
693016272877,0
693016272884,0
693016272891,0
693016272907,0
693016272914,0
693016609246,41
693016609253,118
693016609260,212
693016609277,242
693016609284,189
693016609291,105
693016609307,57
693016609314,0
693016609321,0
693016519781,0
693016519798,7
693016519804,29
693016519811,59
693016519828,92
693016519835,114
693016519842,88
693016519859,48
693016519866,21
693016519873,0
693016585571,0
693016585588,11
693016585595,39
693016585601,91
693016585618,129
693016585625,150
693016585632,109
693016585649,73
693016585656,29
693016585663,0
693016569809,0
693016569816,6
693016569823,0
693016569830,39
693016569847,45
