SKU,Stock,MSRP
ALG-601_36,15,119.95
ALG-601_37,38,119.95
ALG-601_38,40,119.95
ALG-601_39,100,119.95
ALG-601_40,27,119.95
ALG-601_41,16,119.95
ALG-601_42,0,119.95
ALG-631_35,0,119.95
ALG-631_36,0,119.95
ALG-631_37,0,119.95
ALG-631_38,0,119.95
ALG-631_39,0,119.95
ALG-631_40,0,119.95
ALG-631_41,0,119.95
ALG-631_42,0,119.95
ALG-637_35,51,119.95
ALG-637_36,0,119.95
ALG-637_37,0,119.95
ALG-637_38,0,119.95
ALG-637_39,0,119.95
ALG-637_40,0,119.95
ALG-637_41,0,119.95
ALG-637_42,0,119.95
ALG-640_35,0,119.95
ALG-640_36,20,119.95
ALG-640_37,45,119.95
ALG-640_38,67,119.95
ALG-640_39,50,119.95
ALG-640_40,7,119.95
ALG-640_41,11,119.95
ALG-640_42,0,119.95
ALG-640_43,0,119.95
ALG-644_34,0,119.95
ALG-644_35,6,119.95
ALG-644_36,11,119.95
ALG-644_37,16,119.95
ALG-644_38,35,119.95
ALG-644_39,47,119.95
ALG-644_40,41,119.95
ALG-644_41,25,119.95
ALG-644_42,0,119.95
ALG-644_43,0,119.95
ALG-686_34,0,119.95
ALG-686_35,2,119.95
ALG-686_36,5,119.95
ALG-686_37,29,119.95
ALG-686_38,18,119.95
ALG-686_39,36,119.95
ALG-686_40,32,119.95
ALG-686_41,0,119.95
ALG-686_42,0,119.95
ALG-686_43,0,119.95
ALG-711_34,0,69.00
ALG-711_35,0,69.00
ALG-711_36,0,69.00
ALG-711_37,0,69.00
ALG-711_38,0,69.00
ALG-711_39,0,69.00
ALG-711_40,0,69.00
ALG-711_41,0,69.00
ALG-711_42,0,69.00
ALG-711_43,0,69.00
ALG-715_35,0,69.00
ALG-715_36,0,69.00
ALG-715_37,0,69.00
ALG-715_38,0,69.00
ALG-715_39,0,69.00
ALG-715_40,0,69.00
ALG-715_41,0,69.00
ALG-715_42,0,69.00
ALG-719_34,0,119.95
ALG-719_35,6,119.95
ALG-719_36,0,119.95
ALG-719_37,36,119.95
ALG-719_38,46,119.95
ALG-719_39,44,119.95
ALG-719_40,63,119.95
ALG-719_41,23,119.95
ALG-719_42,0,119.95
ALG-719_43,0,119.95
ALG-759_34,0,119.95
ALG-759_35,0,119.95
ALG-759_36,0,119.95
ALG-759_37,0,119.95
ALG-759_38,0,119.95
ALG-759_39,0,119.95
ALG-759_40,0,119.95
ALG-759_41,0,119.95
ALG-759_42,0,119.95
ALG-759_43,0,119.95
ALG-914_34,0,69.00
ALG-914_35,0,69.00
ALG-914_36,0,69.00
ALG-914_37,0,69.00
ALG-914_38,0,69.00
ALG-914_39,0,69.00
ALG-914_40,0,69.00
ALG-914_41,0,69.00
ALG-914_42,0,69.00
ALG-914_43,0,69.00
ALG-919_35,0,69.95
ALG-919_36,0,69.95
ALG-919_37,0,69.95
ALG-919_38,0,69.95
ALG-919_39,0,69.95
ALG-919_40,0,69.95
ALG-919_41,0,69.95
ALG-919_42,0,69.95
ALG-998_34,0,24.95
ALG-998_35,30,24.95
ALG-998_36,77,24.95
ALG-998_37,177,24.95
ALG-998_38,297,24.95
ALG-998_39,310,24.95
ALG-998_40,246,24.95
ALG-998_41,203,24.95
ALG-998_42,158,24.95
ALG-998_43,0,24.95
ALG-998G_34,0,24.95
ALG-998G_35,30,24.95
ALG-998G_36,70,24.95
ALG-998G_37,214,24.95
ALG-998G_38,317,24.95
ALG-998G_39,407,24.95
ALG-998G_40,335,24.95
ALG-998G_41,284,24.95
ALG-998G_42,167,24.95
ALG-998G_43,0,24.95
ALG-998GW_34,0,24.95
ALG-998GW_35,0,24.95
ALG-998GW_36,88,24.95
ALG-998GW_37,163,24.95
ALG-998GW_38,307,24.95
ALG-998GW_39,346,24.95
ALG-998GW_40,248,24.95
ALG-998GW_41,168,24.95
ALG-998GW_42,31,24.95
ALG-998GW_43,0,24.95
